大型超市对水果供应商的要求，核心是两条线：**食品安全合规能力**和**全程冷链与稳定交付能力**。具体可以拆成下面几个必备模块。

## 一、食品安全能力

**1. 主体资质与合规文件**
- 营业执照、食品经营许可证（或食品生产许可证，视加工环节而定）
- 若涉及进口水果：进出口资质、海关报关与检验检疫证明
- 种植/养殖源头资质：基地备案、绿色食品/有机认证等（视超市定位）

**2. 可追溯体系**
- 批次可追溯：从果园/基地→加工→仓储→配送→门店，能查到每一批的来源和去向
- 农残检测记录、采收日期、包装日期、保质期信息完整
- 出现问题时能快速召回并定位问题批次

**3. 检测与质量控制**
- 农药残留检测能力（自检或第三方检测报告）
- 重金属、微生物等按品类风险做相应检测
- 入库验收标准：外观、成熟度、糖度、损伤率、规格分级

**4. 加工与包装卫生**
- 分拣、清洗、打蜡、包装环节符合食品卫生规范
- 包装材料符合食品接触材料标准
- 操作人员健康证、车间卫生管理制度

**5. 仓储卫生与虫害控制**
- 冷库/常温库清洁、防霉、防鼠防虫
- 不同品类分区存放，避免交叉污染和催熟气体影响
- 温湿度记录可查

## 二、物流与冷链能力

**1. 冷链全程能力**
- 预冷：采收后快速预冷，这是保鲜关键
- 冷藏运输：冷藏车/冷链集装箱，全程温控记录
- 冷库仓储：按品类设定温度（如浆果0–4℃、香蕉13–15℃、热带水果避冷害）
- 门店交接：最后一公里仍保持冷链，不能断链

**2. 温控与监控**
- 运输和仓储温度实时记录、可回溯
- 异常温度报警与处理机制
- 不同水果分温区管理，避免混装导致冷害或催熟

**3. 配送时效与稳定性**
- 按超市要求的频次和窗口送货（日配/隔日配）
- 高峰期、节假日、恶劣天气下的保供方案
- 缺货、延迟的替代与应急机制

**4. 损耗控制能力**
- 采后处理、分级包装、冷链衔接做得好，损耗才低
- 能提供合理的损耗率和赔付/补货机制
- 对易损品类（草莓、樱桃、蓝莓等）有专门包装和运输方案

**5. 信息化与协同**
- 订单、库存、批次、温控数据能与超市系统对接
- 支持电子回单、批次追溯查询
- 异常情况能主动预警，而不是等门店投诉

## 三、超市通常还会重点考察的

- **供应规模与稳定性**：能否长期稳定供货，而非临时拼货
- **基地或稳定货源**：自有基地或长期合作基地更受青睐
- **应急能力**：疫情、灾害、封路时的替代货源和物流预案
- **保险与责任承担**：产品责任险、食品安全事故处理流程
- **审核配合度**：能否接受超市或第三方飞行检查、年度审核

## 四、一句话判断标准

如果一家水果供应商能做到：**资质齐全、批次可追溯、农残可控、全程冷链不断链、配送稳定、异常能召回**，基本就具备大型超市的准入门槛。缺其中任何一项，尤其是冷链断链或追溯不清，通常很难通过超市的供应商审核。
