批发商在谈水果品牌代理时，区域保护和串货是核心利益条款，问得越具体、越书面化越好。建议按下面几个方向去问，并在合同里落到文字。

## 一、关于区域保护，重点问清楚

1. **授权区域的具体范围**
   - 是划到省、市、区县，还是具体到某几个批发市场、某几条渠道？
   - 线上（电商、直播、社区团购）算不算你的区域？很多水果品牌线上和线下是分开授权的，必须问清。

2. **区域内是否独家**
   - 是独家代理，还是非独家？
   - 如果是独家，区域内品牌方自己能不能卖？能不能再授权别人？
   - 有没有"保护期"，比如半年内不新增代理？

3. **区域保护的触发条件和维持条件**
   - 要保独家，通常有销量/进货量考核。问清：考核标准是什么？按季度还是年度？达不到会怎样（降级、取消独家、缩区域）？
   - 考核口径是什么：进货额、出货额、还是终端销售额？

4. **品牌方直营/大客户渠道怎么算**
   - 品牌方如果有商超直营、电商旗舰店、大客户团购，会不会进入你的区域？这部分算不算串货？

5. **区域外客户主动找上门怎么办**
   - 你区域外的客户自己来进货，能不能卖？要不要报备？这是实操里最容易扯皮的点。

## 二、关于串货，重点问清楚

1. **串货的定义**
   - 什么叫串货？是"货物流出授权区域"就算，还是"低价倾销到别人区域"才算？
   - 品牌方自己的线上店、其他区域代理的货，流进你的区域，算不算串货？

2. **防串货的具体措施**
   - 有没有区域编码、批次码、一物一码？
   - 不同区域的货有没有做标识区分，便于追查？
   - 发现串货后，品牌方怎么查、怎么处理、多长时间给答复？

3. **串货的处罚和赔偿**
   - 对方串货，罚谁？罚多少？
   - 你因为串货受损失，能不能索赔？依据是什么？
   - 品牌方如果自己串货（比如线上低价冲你区域），怎么算？

4. **你自己的义务**
   - 你有没有义务不往外区发货？违反了怎么罚？
   - 遇到下游客户要发往外区，要不要报备、能不能报备通过？

5. **争议怎么解决**
   - 出现串货纠纷，谁举证？走什么流程？
   - 是否约定仲裁或诉讼地？

## 三、谈判时的几个实用提醒

- **别只听口头承诺**，所有区域范围、独家、串货处理都要写进合同附件，最好附区域地图或渠道清单。
- **把"考核"和"保护"绑定谈**：独家保护往往对应销量承诺，先算清自己能不能完成，别为拿独家签了完不成的量。
- **区分"品牌方直营"和"代理串货"**：很多纠纷其实是品牌方自己线上低价造成的，这条一定要单独约定。
- **问清货源稳定性**：水果有季节性，区域独家如果碰上断货、品质不稳，保护也白搭，顺带问清供货优先级。
- **留证据意识**：合同里约定好串货取证方式（如编码追溯、物流单据），否则事后很难维权。

## 四、可以直接照着问的问题清单

1. 我的授权区域具体是哪里？线上线下都归我吗？
2. 这个区域是独家还是非独家？独家有没有期限和考核？
3. 品牌方自己和直营渠道会不会进我的区域卖？
4. 区域外客户主动找我拿货，能不能卖？要不要报备？
5. 什么情况算串货？怎么查、多久给结果？
6. 查到串货罚谁、罚多少？我受损能不能赔？
7. 品牌方线上低价冲击我区域，算不算串货？怎么处理？
8. 我自己往外区发货有什么限制？
9. 这些条款能不能写进合同？区域范围能不能附清单或地图？
10. 出现纠纷怎么解决，在哪仲裁或起诉？

核心一句话：**把"区域边界、独家条件、串货定义、查处机制、赔偿标准"这五件事，全部落到书面合同里，口头承诺不算数。**
