要避免买到太生或太熟的香蕉，核心是**先明确你打算什么时候吃**，再按“成熟阶段”来挑。给你一套到店就能用的判断法：

1. **按食用时间选颜色**
   - **今天/明天就吃**：选**通体黄、带少量褐色小斑点**的，甜度最高、口感最好。
   - **2～3天内吃**：选**整体黄、两端略绿、没有黑斑**的。
   - **4～6天后吃**：选**黄绿相间、果柄偏绿**的。
   - **想放一周左右**：选**整体偏绿、只有少量转黄**的，但不要选完全青硬、无黄感的。

2. **看果柄和果尖**
   - 果柄**青绿**：通常偏生，适合存放。
   - 果柄**发黄或发褐**：通常已熟或接近过熟。
   - 果尖如果已经发黑、发软，说明熟得比较透，不适合再放。

3. **摸硬度**
   - **硬得像石头**：很生，需要较长时间催熟。
   - **轻按有弹性、不软塌**：成熟度合适。
   - **一按一个坑、局部发软**：已经熟过头，适合马上吃或做香蕉奶昔、香蕉面包。

4. **看表皮和棱角**
   - 表皮**饱满、棱角不明显**：通常果肉发育好。
   - 表皮**发皱、棱角很突出**：可能放久了或失水。
   - 有**大面积黑斑、渗液、霉点**：不要买。

5. **闻气味**
   - 有清淡香蕉香：正常。
   - 有明显酒味、酸味：过熟或开始变质。

6. **采购小技巧**
   - 如果超市只卖一整串，而你想分阶段吃，可以**买一串偏绿的**，回家后把其中几根和苹果/熟香蕉放一个纸袋里催熟，另外几根放阴凉通风处慢慢熟。
   - **不要全部放冰箱**：未熟香蕉放冰箱会停止成熟、表皮变黑。已经熟透的可以冷藏1～2天，但皮会变黑，果肉仍可吃。
   - 回家后**悬挂或平放**，别堆压，能减少压伤和过快腐烂。

一句话判断：**今天吃选黄带斑，几天后吃选黄中带绿，一周后吃选绿多黄少；果柄青、手感硬适合放，果柄黄、手感软适合马上吃。**
