选购香蕉时，可以从以下步骤判断成熟度，避免过生或过熟：

1. **观察颜色**：  
   - 太生：表皮呈青绿色，且没有黄斑。  
   - 适中：表皮整体呈鲜黄色，两端略带青绿色（此时刚转熟，口感稍硬脆甜）。  
   - 偏熟：表皮黄色均匀，出现少量黑色斑点（糖度高，口感软糯）。  
   - 太熟：大面积黑斑、表皮变软或发黑。

2. **触摸硬度**：  
   - 太生：果实非常硬，用力按压无弹性。  
   - 适中：轻按有轻微弹性，但不会凹陷。  
   - 太熟：按压后明显凹陷，甚至表皮破损。

3. **检查果柄和蒂部**：  
   - 太生：果柄呈暗绿色或干枯。  
   - 适中：果柄为黄绿色，断口新鲜。  
   - 太熟：果柄发黑、干瘪或出现霉斑。

4. **注意储存需求**：  
   - 如果准备吃3天内：选黄色均匀、稍有黑点的香蕉。  
   - 如果准备吃5-7天：选偏生（青黄相间）的，放阴凉处自然成熟。  
   - 避免购买整把中有个别烂斑的，可能污染其他香蕉。

5. **避开异常**：  
   - 表皮有密集黑色小点（可能是冷藏损伤，易褐变但可食用）。  
   - 果肉有透明或褐色软烂（买到内部腐烂的香蕉）。

小技巧：超市买到的黄金色香蕉，通常已在仓库催熟，回家后室温放置1-2天即可。如果很青，可放常温袋装，有助于催熟。
