学校食堂在采购香蕉时，避免熟过头导致浪费，可以从采购、储存、使用和流程四方面入手。以下是可执行的建议：

1. **分批次采购，错峰到货**  
   - 不要一次性采购整月用量，改为每3-5天采购一次，每次按实际需求定量。香蕉的成熟速度受温度和乙烯气体影响，分批到货能减少库存积压。

2. **按成熟度分级采购**  
   - 与供应商明确要求“三分之二黄、三分之一青”的成熟度（即七成熟）。这种香蕉在常温下约可保存3-5天，适合食堂短期消耗。如果当天就要使用，可指定“全黄但无明显黑斑”。

3. **控制储存条件**  
   - 到货后立即拆箱，散放在阴凉、通风、干燥处（室温约18-22℃），避免叠放或密闭塑料袋，否则会加速成熟。不要放在高温厨房或阳光直射区域。
   - 如果发现有熟过头的香蕉（表皮大面积黑斑、软烂），先挑出单独存放，优先处理。

4. **调整使用顺序与加工方式**  
   - 先熟先用：每天优先使用最熟的香蕉，做成果盘、沙拉或榨汁。  
   - 熟透的香蕉（甚至有黑点）不要丢弃，用于制作香蕉蛋糕、香蕉牛奶、或打成香蕉泥，作为甜点或饮品的原料，既避免浪费又增加菜单多样性。

5. **建立验收与记录制度**  
   - 采购时要求供应商提供送货日期和成熟度说明，收货时核查。  
   - 设立台账，记录每日进货量、使用量和报损量，发现浪费过多时调整下单周期或供应商。

6. **与供应商协商退换或补偿**  
   - 在合同中写明成熟度标准，若供应商送货明显过熟，可拍照留证并要求退换或下次扣减数量，形成约束。

如果食堂人手有限，优先从“分批采购”和“熟透加工”入手，这两项最容易落地且见效快。
