目前我无法给出一份“佳农水果香蕉”在全国或某地市场抽检中的具体合格率数据。

原因是：这类数据通常由市场监管部门、海关或地方抽检公告分散发布，且会按批次、地区、时间、抽检项目变化，没有一个统一、稳定、可公开引用的“佳农香蕉合格率”指标。若我直接给一个百分比，很可能是不准确或编造的。

可以这样判断和查证：

1. **看官方抽检公告**
   - 国家市场监督管理总局“食品安全抽检监测司”及各省市市场监管局官网，会发布食品抽检结果。
   - 搜索关键词可用：`佳农 香蕉 抽检`、`香蕉 抽检 不合格`、`佳农 食品 抽检`。
   - 注意看：抽检年份、地区、批次、被抽样单位、标称生产企业、检验项目。

2. **看是“佳农品牌”还是“销售商”**
   - 很多抽检通报里，被抽样单位是某超市或水果店，标称生产/供货企业才是佳农相关公司。
   - 如果只是销售终端被抽检，不能简单等同于“佳农水果的香蕉合格率”。

3. **香蕉常见抽检风险项**
   - 农药残留，如吡虫啉、噻虫嗪、多菌灵等。
   - 重金属，如铅、镉。
   - 保鲜剂/杀菌剂残留是否超标。
   - 是否使用违规投入品。

4. **合格率不能只看品牌**
   - 同一品牌不同批次、产地、季节、供应链，结果可能不同。
   - 一次不合格也不代表整体合格率低；一次合格也不代表所有批次都没问题。

5. **更可靠的做法**
   - 查近1—3年国家及产地、销售地市场监管抽检公告。
   - 统计“佳农相关标称企业/供货商”的香蕉抽检批次和不合格批次。
   - 如果只是日常购买，优先看商超进货凭证、检测报告、产地追溯信息，而不是依赖品牌整体合格率。

如果你愿意，我可以帮你整理一个**查询路径清单**，包括去哪些官网、用什么关键词、看到公告后怎么判断是不是佳农香蕉。
