商超做会员日水果活动时，供应商的配合至关重要。以下是需要提前准备的几大项工作，建议按活动周期（活动前2-4周至当天）分阶段落实：

### 一、商品与货源准备（最关键）
1. **选品确认**：活动前2周与商超采购确认主推SKU（建议3-5个爆款，1-2个引流品，1-2个利润品）。确认库存、规格、内外包装方式。
2. **鲜度把控**：水果是生鲜，提前3-5天分批次采摘/进货，保证到店时达到8-9成熟（避免过熟易坏或过生口感差）。
3. **安全库存垫底**：按活动预估销量再上浮20-30%备货（尤其在周末、节假日）。特殊爆款（如车厘子、榴莲）需提前锁货。
4. **应急补货机制**：与商超约定当日快报（比如上午10点/下午3点），若销量超预期，确保4-6小时内能二次送货。

### 二、定价与毛利方案
1. **阶梯定价**：提前给出“会员专享价”“非会员正常价”及“会员满减/折扣叠加方案”，避免临时改价造成系统冲突。
2. **毛利测算**：与商超确认折扣分摊比例（例如商超出5%，供应商让利3%），白纸黑字写明结算方式（扣除促销费、堆头费、损耗补贴）。

### 三、人员与现场支持
1. **驻场导购**：活动当天至少安排1-2名熟练促销员（能切试吃、做果切、打包），最好会普通话和当地方言。
2. **试吃与展示**：提前准备好试吃盘（每2小时更换新鲜果肉）、牙签、垃圾袋、一次性手套；现场布置统一的宣传物料（POP、价签、堆头装饰、会员日主题拱门等）。
3. **现场加工配套**：如果需要现场榨汁/切果盒，准备榨汁机、保鲜膜、打包盒、冰袋。

### 四、物流与配送
1. **每日专线**：活动期间安排专门的冷链车或厢式货车，避开商超前台卸货高峰（通常早上6:30前或晚上闭店后）。
2. **装卸保护**：使用专用周转筐，轻拿轻放，到店后立即补冷（先进冷库再上架）。
3. **退换货预案**：和商超约定“坏果包换”的具体标准（如按比例换货或折价处理），提前准备替换库存。

### 五、系统与数据对接
1. **价格录入**：活动前48小时将所有活动价、会员价录入商超系统并测试扫码，避免当天收银台无法识别。
2. **库存共享**：如果有条件，提前接入商超的实时库存系统，避免超卖。
3. **销售复盘数据**：活动结束后，要求商超出具每日销量/损耗数据，方便结账及下次备货。

### 六、意外预案
- **天气预案**：如果会员日遇暴雨或极热天气，提前准备防雨棚、遮阳棚；必要时调整送货量。
- **质量客诉**：准备小额代金券或小份果切作为赔偿，避免纠纷升级。
- **价格冲突**：如果当天其他渠道（如线上到家）比门店便宜，提前与商超沟通统一价，防止会员投诉。

---

**最后提醒**：所有准备事项务必在活动前3天开一次**三方沟通会**（供应商、商超采购、运营/店长），明确分工和联络人，并共享一份《活动执行表》，逐项打钩确认。这样能最大限度降低现场乱象。
