在超市选购菠萝（供消费者日常食用）时，**建议优先关注甜度**，其次是大小和外观，而**切果损耗**通常只对商家/超市的进货决策或削皮加工服务有直接影响，对普通顾客日常挑整个菠萝来说权重最低。

具体建议如下：

**1. 甜度（最关键）**
- 判断甜度有几个实用窍门：
  - **闻气味**：成熟度高的菠萝，底部和果眼间隙会散发明显浓郁的甜香，闻不到香味的通常偏生或寡淡。
  - **按压手感**：轻轻按压菠萝表面，有轻微弹性但不塌陷的，说明果肉成熟；按着很硬，说明偏生；过软则可能过熟或内部变质。
  - **看底部**：底部（果柄切口）如果干燥且颜色偏黄，通常较熟；如果发白发青，可能尚未完全成熟。
  - **看重量**：同样大小，手感越沉的一般水分越足，甜度往往也更好（但避免选过沉的“空心”菠萝）。

**2. 大小**
- 大小与品质没有绝对关系，取决于价格和食用需求。如果你打算买回家立即食用，中等个头（约1.5-2公斤）通常果肉比例更均衡；如果价格相同，选偏大的性价比更高。但注意，**只要外观新鲜、无凹陷，大小本身不影响甜度**。

**3. 外观**
- 关注颜色（成熟菠萝通常呈金黄偏橙黄，青色多则偏生）、叶子（新鲜挺立的绿叶通常更佳）、果眼（饱满、排列紧密）、底部（无霉斑、无湿烂）。
- **避免**：表皮有明显软烂、黑斑、破裂或有酒精味（说明过熟发酵）。

**4. 切果损耗（仅当你在买“削好的菠萝”时适用）**
- 如果你买的是超市现场削皮切块的菠萝，损耗率（果皮、果眼切除量）直接影响你实际得到的“肉量”。此时可以观察：
  - 同一价格下，选择果肉块更大、切得厚实的（损耗小）。
  - 如果买整个菠萝后请超市代削，可提前问清是否按“称重后的净果”算钱，还是“带皮称重”。

**总结建议：**
- **买来自己回家削**：重点闻气味+按弹性判断甜度，其次看外观大小，切果损耗不用管（除非你想让店家代切，需要注意是否按净肉计价）。
- **买已经切好的果盘**：直接看果肉颜色（金黄湿润的通常成熟），并尽量选当天新切的（看盒底有无汁水、有无发酸味），这时候“损耗”已经由超市承担，你只需看品质。

最后提醒：**菠萝不用追求最甜**，那种极甜的可能是糖度异常（如腐烂发酵），选自然成熟的即可。如果你买来当天吃，选稍软偏熟的；如果放几天，选略生、底部发绿的更耐放。
