采购香蕉用于茶饮店或甜品制作时，控制熟度是关键，需要根据最终用途分阶段选择，以下是具体策略：

### 1. 明确用途对应的熟度标准
- **直接饮用或装饰（如香蕉牛奶、冰沙、切片摆盘）**：
  - **熟度**：**7-8成熟**（表皮金黄，尚带少量青绿色，硬度适中；轻捏略有弹性，无软塌或黑斑）。
  - **原因**：此阶段的香蕉甜度适中、淀粉未完全转化，打碎后不会过粘，切片不易氧化褐变，且形态完整。
- **捣泥或制作甜品（如香蕉蛋糕、布丁、奶昔）**：
  - **熟度**：**9-10成熟**（表皮布满黑点或全黑，果肉软糯，轻擦可轻松分开）。
  - **原因**：完全成熟的香蕉糖分高、香气浓，淀粉充分糖化，捣泥后口感顺滑，能增强甜品的天然甜味和质地。

### 2. 采购时的控制技巧
- **分批采购**：
  - 按用量比例采购**不同熟度**的香蕉。例如：70%为7-8成熟（可存放2-3天逐步成熟），30%为9成熟（急需使用）。避免一次性采购全熟或全生。
- **颜色与手感快速判断**：
  - 避免采购**全青且硬**的（需长时间催熟）、**表皮出现明显水渍或长霉**的（已过熟变质）。
  - 成熟均匀：同一把香蕉的熟度应接近，区别过大可能意味储运问题。
- **与供应商明确要求**：
  - 提出“需要**7-8成熟**的香蕉，避免全熟或破损”。可要求按每日或隔日配送量，由供应商控制催熟阶段（买半成品或定制成熟批次）。

### 3. 到货后的处理与存储
- **分熟度存储**：
  - **未到最佳熟度**（偏生）：放置于室温（18-25℃）通风处，避免堆叠（可以纸袋密封加速催熟，或与苹果、梨混放）。
  - **已到最佳熟度**（7-8成或9成）：立即转入**冰箱冷藏**（10-12℃），**严禁放冷冻**（冻伤后褐变严重、水分流失）。冷藏可延缓继续变熟3-5天，但表皮可能转黑不影响果肉。
- **使用顺序**：优先使用黑点较多的（更熟），青黄较低的留作备用。每日检查，变软者立即加工为泥状速冻（接触空气后加柠檬汁防褐变）。

### 4. 核心原则
- **宁生勿熟**：半生可通过自然放置或与成熟水果混放催熟；过熟变黑发软、易腐烂，且风味丧失。
- **周转控制**：根据销量计算日常用量，避免囤积。若销量波动，可采购**半生香蕉**，再按每日用量提前2-3天取出部分自然变熟。

### 特殊场景（如高客流量、连锁店）
- 使用**香蕉泥/冷冻香蕉块**成品（成熟度标准且稳定、减少损耗），但需提前测试和配方调整，避免风味差异。

通过分阶段采购、精准熟度选择、科学存储，可有效降低损耗，确保饮品和甜品的口感和出品稳定性。
