会有影响，但影响大小取决于你怎么卖。

**核心判断：一箱里大小不一样，不影响“能不能卖”，但会影响“怎么定价、怎么陈列、怎么减少损耗”。**

具体分几种情况：

1. **如果整箱统货卖**
   - 影响较小。顾客买香蕉主要看新鲜度、颜色、成熟度，大小不一是常态。
   - 但如果有明显“大小混装且价格不低”，顾客容易挑大的、剩小的，最后小香蕉难卖。

2. **如果按根/按把卖**
   - 影响较明显。大小不一会导致顾客挑拣，好的先被拿走，剩下的品相差、损耗高。
   - 建议把大小分开，按不同价格或不同用途卖。

3. **如果做促销或切果盘**
   - 影响很小。小香蕉、外形不一的香蕉适合做特价、果切、奶昔原料，反而能减少损耗。

**实际操作建议：**
- **分拣**：把大、中、小分开，至少分成两档。
- **定价**：大果正常价，小果略低价或做“特价把”。
- **陈列**：同一档位放一起，避免顾客翻拣。
- **话术**：小果可以强调“更甜、适合孩子吃”或“特价实惠”。
- **控制采购**：如果这家供应商长期大小混杂严重，下次可要求分级或换供应商。

**结论：**
大小不一定会直接导致卖不掉，但会带来挑拣、损耗和定价困难。**最好分拣后分级销售，而不是混在一起统卖。**
