抱歉，我们这边没法给你佳农官方的到货损耗承诺，也不能确认“超过3%包赔”这类政策是否存在。这属于佳农（或你当地经销商/供货商）的商务条款，得直接问供货方才能定。

给你几个可执行的建议：

1. **直接找供货渠道确认**
   - 问清楚：**到货验收标准**、**损耗怎么算**（是按根数、重量还是金额）、**是否包赔/补货**、**时限多久**（比如到货24小时内报损）。
   - 最好让业务员把政策写进**购销合同或订货单**里，别只听口头承诺。

2. **先小批量试销**
   - 第一次别压太多货，按你店日均销量订1～2天量，跑一两周看真实损耗。
   - 记录：到货数量、坏果数量、报损数量、实际卖出数量。

3. **把损耗控制在源头**
   - 到货**当场开箱抽检**，拍照留证，有问题当天反馈。
   - 香蕉分**青、熟**批次卖，熟的做特价/切果/奶昔，减少压货。
   - 控制陈列量，卖相差的及时处理，别等全黑再报损。

4. **谈判时可以这样问**
   - “到货24小时内，坏果超过3%能不能补货或折价？”
   - “如果连续两周损耗高于X%，能不能换供货价或调整配送频次？”

如果你告诉我你大概的**日均销量、进货频次、当地佳农是经销商还是直营**，我可以帮你算一下大概能承受的损耗范围，以及怎么跟供货商谈更有利。
