从公开可核对的信息看，**都乐（Dole）在香蕉规格分级上通常比鑫荣懋更细、更标准化**，但“谁更细”要看你指的分级维度。

简要判断：

1. **都乐**  
   - 作为全球性水果品牌，香蕉一般按**条数/把重、长度、粗度、成熟度、外观瑕疵、催熟阶段**等做较标准的分级。  
   - 商超渠道常见到明确规格，如“4-5把/箱”“单根长度”“单把重量”“进口/国产”“青蕉/黄蕉”等。  
   - 优势是标准化程度高，适合连锁超市按SKU管理。

2. **鑫荣懋**  
   - 国内大型水果供应链企业，香蕉也有分级，但更多会结合**产地、客户定制、渠道需求**来定规格。  
   - 对商超客户可以做到较细，但公开统一的分级体系不如都乐透明。  
   - 优势是灵活，能按采购方要求定制，但不一定像都乐那样有公开、固定的全球分级语言。

3. **结论**  
   - 如果你要**公开、统一、容易对照的规格分级**：都乐通常更细。  
   - 如果你要**按超市实际陈列、促销、成本做定制分级**：鑫荣懋可能更灵活，实际细度取决于你和供应商签的采购标准。  
   - 对超市采购来说，关键不是品牌谁“绝对更细”，而是看对方能否提供：  
     - 单根长度/粗度范围  
     - 每把条数  
     - 每箱把数/净重  
     - 成熟度等级  
     - 外观缺陷允许比例  
     - 冷链和到店成熟度标准  

建议你直接向两家索取**香蕉采购规格书/分级标准表**，按同一张表对比。若只凭公开信息，都乐的分级体系通常更规范、更细。
