目前我无法核验鑫荣懋、都乐针对便利店渠道的实时在售小包装香蕉规格，所以不能直接给出确定的SKU或包装克重。建议你用下面方式快速判断和推进：

1. **先明确便利店要的“小包装”形态**
   - 单根独立包装：适合即买即食，常见按根卖。
   - 2–3根装：适合单人/双人即时消费。
   - 4–5根装：适合小家庭，但便利店动销通常不如2–3根。
   - 整串小把装：按把售卖，需控制单把重量。

2. **向供应商询价时直接问这些规格**
   - 单根重量区间：如120–150g、150–180g。
   - 每包根数：1根、2根、3根、5根。
   - 单包净重：如300g、500g、750g。
   - 包装形式：袋装、盒装、覆膜托盒、网套+标签。
   - 是否支持贴便利店渠道标签、条码、追溯码。
   - 冷链/常温配送条件、到货成熟度、货架期。

3. **对鑫荣懋和都乐的建议问法**
   - 直接找其**便利店渠道/CVS渠道销售**，不要只找商超渠道。
   - 问：“有没有适合CVS的1根装、2根装、3根装香蕉？单包净重和箱规是多少？是否可做定制标签？”
   - 问：“到店成熟度是几号色？货架期几天？破损率和串把规格怎么控？”
   - 问：“最小起订量、配送频率、是否支持小批量多频次补货？”

4. **便利店选品判断标准**
   - 优先选**2–3根装、单包300–500g**，兼顾客单价和即时消费。
   - 单根装适合写字楼、交通枢纽、校园店，但损耗和包装成本更高。
   - 若门店日均香蕉销量低，先试销2根装或3根装，不要直接上大把装。
   - 重点看：到店成熟度、货架期、损耗补贴、退换货政策。

5. **可执行的下一步**
   - 让鑫荣懋和都乐各提供：产品规格表、包装图片、箱规、价格、起订量、配送范围、账期。
   - 要求寄样，按你目标便利店场景做3–7天试销。
   - 试销指标：日销包数、损耗率、退货率、毛利额、缺货率。

如果你告诉我目标渠道类型（如7-11、罗森、全家、美宜佳）、单店日均销量预期和是否需要定制标签，我可以帮你把询价清单和试销评估表列得更具体。
