在水果店旺季前与供应商谈判时，建议优先明确以下关键问题，以降低断货风险：

1. **供货稳定性与产能**  
   - “旺季期间，贵方**每天/每周**能保证的最大供应量是多少？是否有历史旺季的缺货记录？”  
   - “同一批次水果的**到货周期**是多长？紧急追加订单需要提前多久通知？”

2. **品控标准与退换货政策**  
   - “水果的**成熟度、大小、外观**验收标准是什么？（可要求提供书面标准）”  
   - “到货后如发现**腐烂、损伤或规格不符**，退换货比例、时间限制和运费由谁承担？”

3. **价格与账期条款**  
   - “旺季价格是否会上调？能否锁定**提前备货价**或阶梯折扣（如月采购量超X吨优惠Y%）？”  
   - “结算方式是**现结、周结还是月结**？是否有账期利息或保证金要求？”

4. **物流与应急方案**  
   - “运输方式是**自营冷链还是第三方**？到货时间误差范围是多少小时？”  
   - “如果因不可抗力（如暴雨、疫情）断供，是否有**备用供应商或应急预案**？违约金如何计算？”

5. **长期合作支持**  
   - “是否提供**新品试销**、**陈列物料**或**本地推广支持**？”  
   - “旺季结束后，能否处理**未售完库存**（如代销、折价回收）？”

**谈判技巧**：  
- 要求供应商提供**过往旺季的销售数据**和**其他客户的合作案例**。  
- 签订合同时明确**违约条款**（如延迟到货按日赔付采购金额的X%）。  
- 若供应商规模较小，可要求其**预付押金**或采用**分批到货、分批结算**模式降低风险。

最后，建议同时备份2-3家备用供应商，旺季前口头确认供应能力，避免单一渠道依赖。
