大型超市对水果供应商的要求，通常比农贸市场和中小商超高得多。核心可以分成**食品安全能力**和**物流交付能力**两大块。下面按实际审核中最常看的项目来说。

## 一、食品安全能力

**1. 主体资质与合规文件**
- 营业执照、食品经营许可证或食品生产许可证，经营范围要覆盖水果销售/初加工/分装。
- 若做进口水果，需有进出口资质、海关报关和检验检疫相关文件。
- 涉及分装、切果、预包装的，还需对应生产许可和标签合规能力。

**2. 源头与基地管理**
- 有稳定的种植基地、合作社或一级采购渠道，能提供产地证明、采购合同、供货台账。
- 能做农残源头控制：投入品管理、采摘前安全间隔期、基地巡检记录。
- 最好有GAP、绿色食品、有机认证等，但不是所有超市都强制。

**3. 检测与验收能力**
- 具备农残快速检测能力，或能提供第三方检测报告。
- 检测项目通常包括有机磷、氨基甲酸酯类等农残，部分超市还会要求重金属、霉菌毒素等。
- 能配合超市做批批抽检、留样、不合格品追溯和召回。

**4. 仓储与加工卫生**
- 仓库、分拣区、包装区要防鼠防虫防潮，温湿度可控。
- 接触水果的人员要有健康证，操作时戴手套、口罩、发网。
- 工具、周转筐、叉车、货架要定期清洗消毒，避免交叉污染。
- 腐烂、变质、落地果要隔离处理，不能混入正常货流。

**5. 追溯与召回体系**
- 能做到“一批一码”或至少批次可追溯：从基地/供应商到门店可查。
- 有不合格品召回流程，能配合超市在限定时间内下架、封存、上报。
- 台账保存期限一般不少于2年，具体按当地监管和超市要求。

**6. 虫害与化学品管理**
- 有虫害防治记录，尤其是仓库和分拣中心。
- 清洁剂、消毒剂、杀虫剂要专区存放、专人管理，不能污染水果。

## 二、物流交付能力

**1. 冷链与温控能力**
- 浆果、荔枝、樱桃、榴莲、牛油果等对温度敏感，通常需要冷藏或冷链运输。
- 能提供全程温度记录，装车前预冷，运输中不中断冷链。
- 不同水果分温区管理，不能混装导致催熟或冻伤。

**2. 仓储与分拣能力**
- 有常温库、冷藏库、催熟库、暂存区等分区。
- 能按超市订单做分拣、称重、贴标、组板、装车。
- 能处理门店退货、尾货、临期果，避免把损耗转嫁给超市。

**3. 运输与配送时效**
- 有自有或稳定合作的冷藏车、厢式货车，车辆要清洁、可温控。
- 能按超市要求的频次配送，比如日配、隔日配、多门店统配。
- 能保证到店时间窗口，迟到、断货会直接影响合作评分。
- 有应急运力，节假日、台风、疫情等情况下能补位。

**4. 订单与信息化能力**
- 能对接超市的采购系统、EDI或线上订单平台。
- 能提供库存、在途、到货、批次、检测报告等数据。
- 有WMS/TMS或至少进销存系统，避免人工错发漏发。

**5. 损耗控制与包装能力**
- 能根据水果特性做防震、透气、保鲜包装。
- 能控制运输损耗，比如葡萄掉粒、草莓压伤、香蕉擦伤。
- 能配合超市做标准化箱规、托盘规格、标签规范。

**6. 应急与履约保障**
- 有缺货替代方案、二级产地或备用供应商。
- 有食品安全事故、车辆故障、极端天气的应急预案。
- 能承担因自身原因导致的退货、赔偿和门店罚款。

## 三、大型超市通常还会额外看这些

- **资金与账期承受能力**：大型超市账期长，供应商要有垫资能力。
- **保险**：食品安全责任险、货物运输险，部分超市会强制要求。
- **审核与验厂**：超市或第三方会做现场审核，包括基地、仓库、加工点。
- **持续改进**：能配合整改、培训、飞行检查和不定期抽检。
- **合规标签**：预包装水果的品名、产地、等级、净含量、日期等要符合法规。

## 四、一句话判断标准

如果一家水果供应商能做到：**资质齐全、源头可追、批批检测、冷链不断、分拣规范、按时到店、出问题能召回**，基本就具备进入大型超市供应链的门槛。反过来，只要农残检测、冷链温控、追溯召回这三项有短板，通常很难长期合作。
