佳农（佳农食品控股旗下的水果品牌，常见于电商和商超渠道）售后服务整体属于生鲜行业的中等偏上水平，但具体体验高度依赖**你在哪个渠道买的**，因为退换责任方不同。

## 关键：先分清购买渠道

- **电商平台自营/旗舰店**（京东自营、天猫旗舰店、拼多多官方店、抖音官方店）：售后走平台规则，通常最有保障。
- **商超/水果店**（盒马、永辉、山姆等）：直接找门店或该商超客服，一般支持当场或拍照退换。
- **社区团购/第三方商家**：保障最弱，容易扯皮，看具体商家。

## 到货有坏果的标准处理流程

1. **先拍照/录视频留证**：把坏果和包装、快递单放在一起拍，最好有开箱视频。这是生鲜理赔的核心依据。
2. **不要急着把坏果扔掉**：很多商家要求保留实物或照片，扔了可能拒赔。
3. **尽快申请**：多数平台有"签收后24–48小时内"的时效要求，越早越好，别拖。
4. **在购买渠道内发起售后**：订单页点"申请售后/退款"，选"商品损坏/变质"，上传照片。
5. **协商方案**：常见结果是按坏果比例退款，或补发。整箱坏得多通常可全额退或重发。

## 能争取到的常见赔付方式

- **按比例赔**：坏几个赔几个的钱，最常见。
- **补发**：坏得较多时，商家可能直接补发一箱。
- **全额退款**：整箱基本报废时，可要求全退，一般需要证据充分。
- **平台介入**：商家不认账时，在电商平台点"申请平台介入"，生鲜类平台通常偏向消费者。

## 实用建议

- 优先在**平台自营或官方旗舰店**买，售后比第三方小店稳。
- 收货**第一时间开箱检查**，别放几天再说坏。
- 生鲜类"7天无理由"通常**不适用**，但"质量问题退换"是有的，别被商家用"生鲜不退"忽悠。
- 如果商家推诿，直接走平台客服或12315，生鲜变质属于质量问题，维权依据充分。

需要更具体的操作，可以告诉我你是在**哪个平台/渠道**买的，我给你对应的申请入口和话术。
