单位采购水果时，如果发现到货品质不一致（如大小不一、成熟度不同、部分腐烂、破损等），需要**第一时间留证、区分处理、按合同条款执行售后**。以下是具体操作建议：

---

### 一、验收环节

1. **现场拍照/录像**
   - 拍下物流外箱、开箱过程、整体摆放状态。
   - 对明显差异的部分（如烂果、压伤、个头悬殊）单独拍摄近景。
   - 保留快递面单或送货单，显示到货日期和数量。

2. **抽样检查**
   - 按总箱数的10%~20%随机开箱抽检，不能只看表面几层。
   - 重点检查：腐烂率、碰伤率、成熟度（过生或过熟）、果径/重量是否达标、有无虫蛀或霉变。

3. **分类记录**
   - 将合格果、轻微不影响食用的问题果、严重坏果分开堆放。
   - 记录每类数量（箱数或公斤数），并写明问题类型。

4. **初步定性**
   - 明确品质不均是**供应商发货问题**（如混装、以次充好）还是**运输途中损坏**（如暴力装卸）。
   - 若为生鲜易腐品，需在到货后2~4小时内完成初步验收，避免因延迟导致损耗扩大。

---

### 二、售后处理（按合同或采购协议）

1. **及时通知供应商**
   - 在到货后24小时内（水果类最好当天）将照片、视频、抽检记录发给供应商。
   - 以书面形式（邮件、微信文字）告知差异情况，避免口头沟通无据。

2. **明确售后要求，按优先级协商**
   - 优先**补发同品质货品**，尤其影响本周使用的部分；
   - 其次**按比例折价**（如坏果率15%，则按总额的15%~20%扣款，具体看合同）；
   - 严重且无法使用时，**拒收整体退货**，并要求供应商承担退货运费和损失。

3. **协商基础参考**
   - 轻微不一致（如成熟度略差、少量小果）可要求打折，不建议全退；
   - 腐烂率超过5%~8%或表面损伤严重影响食用，属明显质量问题，应要求换货或退款。

4. **签订补充协议**
   - 如果单位是长期采购，建议在下次合同中明确：
     - 品质合格标准（果径范围、成熟度、净重）；
     - 到货抽检比例与判定方法；
     - 售后响应时限（如24小时内处理）及赔偿计算方式。

---

### 三、注意事项

- **不要私自处置**：在协商未完成前，不要自行丢弃或分发问题水果，供应商可能要求回收或核验。
- **保留完整凭证**：包括送货单、装车单、付款记录、沟通记录。
- **分清责任节点**：如果供应商发货时是合格的，但物流途中受损，供应商可视情承担运输协调责任，但你有权要求其协助追偿。
- **若供应商拖延**：可向采购平台投诉（如京东企业购、美菜等），或保留证据后提交单位法务处理。

---

### 总结

**验收时按箱抽查、拍全证据、分类统计；售后上按坏果率、严重程度选择补货、折价或退货，并在24小时内书面通知供应商。** 只要证据充分、流程清晰，大多数正规供应商会接受合理折价或补货。
