判断一批香蕉的熟度和坏果风险，建议从以下四个维度进行实操检查：

1. **看外观颜色**  
   - **熟度判断**：青皮为未熟（耐存放），黄皮带绿头约7-8成熟（适合短期销售），全黄或有芝麻点（过熟，需快速处理）。  
   - **坏果预警**：观察果柄发黑、表皮有大面积黑斑或水渍状软化区域，可能是炭疽病或运输挤压导致的腐烂。

2. **摸软硬与弹性**  
   - **熟度判断**：轻捏香蕉中部，硬挺无弹性=未熟；微软有弹性=适熟；一按凹陷不回弹=过熟。  
   - **坏果预警**：局部特别软或有“水囊感”，可能是内部已经腐烂。

3. **闻气味**  
   - 正常香蕉有清香略带酸涩；若闻到酒精味、酸臭味或霉味，说明已过度发酵或霉变，坏果比例高。

4. **抽查内部（必要时可切或开包观察）**  
   - **手电筒照**：隔着包装袋，透光均匀、无深色块为佳；有暗影可能内部已经变黑。  
   - **开箱抽查**：取整箱中间几层的中段香蕉，检查果心是否有褐变、果肉是否发黑或稀汤。

**建议实操流程**：  
- 敲定前随机抽3-5箱，每箱上中下三层各抽一根，快速完成“看-摸-闻-检”。  
- 如果青皮香蕉伴有果柄明显干枯、表皮起凹陷黑斑，说明采摘时已带菌，保鲜期会骤减，需谨慎拿货。  
- 成熟度不统一的批次，坏果风险更高（因为早熟的会释放乙烯，加速整箱腐烂）。  

简单说：青硬香无伤最安全，黄软带香可快销，有酒精味或软烂斑点立即拒收。
