判断香蕉熟度和坏果风险，可以从**外观、手感、气味和切开检查**几个维度综合判断。以下是给批发商的具体实操建议：

### 一、判断熟度（成熟度）
香蕉的熟度直接影响货架期和损耗。批发环节通常关注**七成熟到九成熟**。

1. **看颜色（由青到黄）**：
   - **青绿色（7成）**：皮绿、果肉硬，需催熟或自然放置3-5天。适合走长途或低温仓储。
   - **黄中带绿（8成）**：果皮大面积变黄，但两端或棱角仍带绿。最佳批发状态，即拿即卖，常温放2-3天。
   - **全黄（9成）**：通体金黄，棱角变圆。适合当天零售，不宜存货。
   - **全黄带斑（9.5成以上）**：出现梅花点或褐色斑点。熟度极高，只能今天卖完。
2. **摸手感**：
   - 轻轻按压果体，**软而有弹性**说明熟度合适；**硬邦邦**偏生；**软塌无弹性**已过熟。
   - **捏两端（果柄和果尖）**比捏中段更能反映内部熟度，如果两端软但中间硬，说明催熟不均，风险较高。
3. **看果柄**：果柄（梳柄）颜色鲜绿说明新鲜；发黑、干枯说明采摘时间长，易断损。

### 二、判断坏果风险（重点损耗点）
坏果风险主要来自**运输挤压、捂热变黑、炭疽病**等。建议逐箱抽样检查，重点看以下位置：

1. **打开箱口闻气味**：如果有**发酵酒精味**或甜腻的酸味，说明箱内已有破损果开始发酵，整箱风险很高。
2. **检查箱内垫纸和空隙**：垫纸是否潮湿？底部是否积水？如果潮湿，底部香蕉容易霉变。
3. **逐个查看五个高危部位**：
   - **果柄断裂处**：发黑或渗液，易滋生霉菌。
   - **果皮棱角处**：出现**水渍状暗斑**（像被水泡过的暗色），是炭疽病初期。
   - **果皮表面露白色菌丝**：已经发霉，不能要。
   - **果尖发黑软烂**：说明受过冷害或碰撞。
   - **果身有压痕凹陷**：内部可能已经淤伤，切开后发黑。
4. **抽检切开**：随机取2-3根，从头到尾纵向切开。果肉**呈乳白色、硬实无黑心**为优；**果心发褐/发黑**、果肉有透明水渍状，是受冻或挤压伤，不耐放，必然快速变质。

### 三、针对性建议（批发实操）
- **看库房温度记录**：批发商应确认货品在运输途中是否全程冷链（13-15℃最佳）。如果到货时果皮温度明显高于室温或摸起来发热，说明经历过高温，熟化加速，风险大增。
- **分批处理**：到货后按熟度分级堆放，**熟度高的（全黄或带斑）优先出货或降价处理**，熟度低的（青绿）放低温库或安排催熟。
- **算好账期**：如果预计3天内卖不完，**尽量不拿全黄或带斑的货**，宁可选青一点。
- **验货时挑出“病果”**：现场挑出有霉斑、黑点、断柄的，算在损耗内，向卖方争取折扣或补贴。

**总结口诀**：一看青黄定熟度，二按两端试软硬，三嗅酒精查发酵，四摸垫纸防潮湿，五切果心辨内伤。如果箱内散发酒精味或底部潮湿，建议直接整箱拒收或大幅压价。
