酒店采购水果盘原料时，供应商应确保以下规格和外观标准：

1. **规格标准**：
   - **重量/数量**：每份水果盘需明确原料净重（如每500克含芒果块、草莓等分量），或按标准份数（如每盘适合2-4人）配置。
   - **尺寸**：水果块大小需一致（如哈密瓜、西瓜切为2厘米见方），避免过大或过小影响美观及食用便捷。
   - **品种比例**：按酒店菜单要求固定水果种类（如夏季需含西瓜、芒果、蓝莓等），不同水果比例需合理（如热带水果占40%，本地时令水果占60%）。
   - **包装**：原料需为独立密封包装（如真空包装或保鲜盒），避免运输中损坏或串味，外包装标注生产日期、保质期及储存条件（0-4℃冷藏）。

2. **外观标准**：
   - **新鲜度**：水果表皮无腐烂、霉斑、软化或机械伤（如磕碰痕）；果肉无褐变、变色或干缩现象（如苹果切面无氧化发黄）。
   - **颜色**：符合品种自然颜色（如草莓鲜红、芒果金黄、葡萄紫黑），无过度褪色或异常斑点（如香蕉皮无大面积黑斑）。
   - **形状**：水果形态完整均称（如草莓无畸形、猕猴桃非扁塌），切片或块状边缘整齐无碎渣。
   - **洁净度**：无泥沙、虫卵、农药残留痕迹或保鲜剂残留（如表面无水渍白粉）。要求供应商提供清洗检测证明或冷链运输记录。

供应商需定期提供样品供酒店品控部门验收，不符合标准者应立即拒收或退货。
