水果店采购菠萝时，判断“进什么熟度最合适”，核心不是挑最熟或最青，而是按**计划销售天数**来定：

**最稳妥的原则：采购以7～8成熟为主，少量搭配9成熟做即时销售。**

具体判断和处理建议：

1. **看外观**
   - 果眼大而平、果皮由青转黄绿或黄中带绿，通常比较适合进货。
   - 全青、果皮很硬：太生，后续可能熟得慢且糖度不足。
   - 大面积金黄、果眼发深、底部发软：太熟，适合当天特价，不适合囤。

2. **闻气味**
   - 有淡淡菠萝香：适合采购，能放1～3天。
   - 香味很浓、带酒味：已经过熟，损耗风险高，只适合当天促销。
   - 几乎没味：偏生，需后熟，占库时间。

3. **按压底部和果身**
   - 底部稍软、果身按下去有轻微弹性：可采。
   - 硬得像石头：太生。
   - 一按就陷、汁水外渗：过熟，别大量进。

4. **看叶片和切口**
   - 叶片青绿、基部新鲜：采摘时间较近。
   - 叶片枯黄、切口发黑发干：存放久，后续损耗高。

5. **按销售节奏反推**
   - 当天卖完：可以进9成熟，香气足、口感好。
   - 卖1～2天：进8成熟左右，少量9成熟。
   - 卖3天以上：进7～8成熟，偏青一点，但别全青。
   - 夏季高温：整体再降半成到一成，因为后熟快。
   - 冬季低温：可略高半成，但避免冻伤。

6. **实操建议**
   - 不要一次全进同一熟度，分批：**7成、8成、9成搭配**，先卖熟的，后卖青的。
   - 到店后按熟度分区，熟果放前面、冷柜或阴凉处，青果可常温后熟。
   - 每天挑出过熟果做切果、果汁、特价，减少整果报损。
   - 和供应商约定：青果、熟果比例和到货熟度标准，避免“看着便宜、到店全熟”。

一句话：**采购菠萝，7～8成熟最稳；当天卖的可以9成熟；超过3天销售的，宁可略生一点，但不要全青。**
