好的，关于单位采购水果到货品质不一致的情况，以下是具体的验收和售后建议，供您参考：

### 一、验收环节（重点在于“发现并固定证据”）

1. **现场立即开箱检查**：  
   - 在配送人员在场的情况下，**随机抽检**不同箱内的水果（建议抽检比例不低于10%）。
   - 检查外观：是否有腐烂、撞伤、压坏、虫蛀、畸形、严重斑疤等问题。
   - 检查成熟度：是否过生（难以食用）或过熟（极易腐烂）。
   - 检查规格：大小、重量是否与合同约定一致（如“单果重200g以上”）。

2. **拍照/录像留证**：  
   - 对**整箱未拆封**状态、**拆开后内部**状态、**不合格水果特写**分别拍摄清晰照片或视频。
   - 照片中包含能显示**时间、地点和采购订单编号**（如手写板或手机水印）。

3. **现场记录并填写验收单**：  
   - 当场填写《水果到货验收单》，注明：到货时间、总件数、抽检件数、不合格比例、不合格现象描述（如“第3箱有5个苹果腐烂”“第6箱50%柑橘偏青”）。
   - **要求送货人员签字确认**（若对方不签，可注明“已当场口头提出异议”并签字）。

4. **区分问题类型**：  
   - **批量问题**（如整批水果都不熟、规格普遍偏小）：需立即拒收整批次。
   - **个别问题**（如少数烂果、个别压伤）：可接收合格部分，对不合格部分拍照并现场单独封存。

### 二、售后环节（重点在于“明确责任方并快速处理”）

1. **第一时间通知供应商**：  
   - 在发现问题的**24小时内**（生鲜类时效性极强），通过微信/邮件/电话联系供应商对接人，附上验收照片和视频。
   - 明确告知：到货时间、订单号、不合格比例、具体问题（如“约15%的香蕉表皮有黑斑，口感发涩”）。

2. **协商处理方案（按优先级排列）**：  
   - **全额退换**：若不合格比例超过合同约定标准（通常为5%-10%），要求供应商重新补发合格品（一般承诺24-48小时补货）。
   - **按比例退款**：若不合格比例较低（如仅3%坏果），可按“不合格部分价值”退款或抵扣未来货款。
   - **赠补抵损**：要求供应商在下次送货时，额外赠送等价值的好果（需明确记录“某年某月某日因某问题补偿XX斤”）。
   - **自行处置降价**：若水果尚可食用但品相不佳（如碰伤不影响食用），可协商按原价的**30%-50%** 折扣结算。

3. **保留退货凭证**：  
   - 若供应商同意退换，需写《退货单》确认退货品种、数量、原因，由双方签字。
   - 若对方派人取回劣果，要求**在监控下或拍照留底**，防止后续扯皮。

### 三、预防性措施（长期建议）

1. **合同条款明确标准**：  
   - 在采购合同中写明：水果等级（如“一级果”“特级果”）、单果重范围、允许的不合格率（建议≤5%）、验收异议时限（如24小时）、售后赔偿方式（退换货/折扣）。

2. **建立“供应商评分表”**：  
   - 记录每次到货品质（如“准时率”“坏果率”“口感评测”），定期淘汰不合格供应商。

3. **小额试单策略**：  
   - 对新供应商，首次采购量控制在20箱以内，检验其品质和售后态度，再决定是否扩大合作。

### 四、特殊情况提醒
- **若对方推诿或拖延**：明确告知“已保留现场证据，将向采购单位上级或关联监管部门（如市场监督管理局）反馈”。
- **保存所有沟通记录**：聊天记录、通话录音（需告知对方）、邮件等，作为后续维权凭据。

希望以上步骤能帮到您！如有具体的水果种类（如葡萄、芒果）或争议金额大小，处理方式可进一步细化。
