在超市采购水果时，为防范农残抽检风险，建议提前向供应商索取以下资料（最好在签订合同或首次进货前收集齐全，并建立档案）：

**1. 法定必备资质（证明“合法主体”）**
- **营业执照**（复印件盖公章）：确认供应商经营范围包含水果销售。
- **食品经营许可证**（或食品生产许可证，视其业态而定）。

**2. 产品合格的直接证据（证明“本批次安全”）**
- **每批次农残检测报告**：
  - 要求必须是**本批次**的，标注**检测日期**或**到货批次号**。
  - 最好是**第三方检测机构**（如SGS、华测、谱尼等）出具的CMA/CNAS报告。
  - 检测项目须覆盖**国家禁用、限用农药**（如甲胺磷、毒死蜱、克百威等）及常检项目（有机磷、拟除虫菊酯类等）。
- **产地证明**（如产地农业农村部门出具的食用农产品合格证或产地证明文件）。

**3. 追溯信息（证明“来路可查”）**
- **进货凭证**（如供应商给上游的采购单据、物流单）。
- **溯源信息**：明确标注产地（具体到县/区）、种植基地名称或合作社名称，便于抽查时逆向追踪。

**4. 制度性文件（证明“管理规范”）**
- 供应商的**自检制度**或**内部农残抽检记录**（如有）。
- 供应商承诺书（承诺不销售禁限用农药喷洒的水果，并对批次真实性负责）。

---

**执行建议（可操作步骤）：**
1. **谈判前设定底线**：明确要求“无检测报告不收货”。
2. **现场核验**：到货时核对报告上的**批次号/到货日期**是否与实物一致（谨防拿旧报告顶替）。
3. **留存证据**：所有资料扫描存档，合同里约定“如因农残超标被抽检不合格，供应商承担全部责任及罚款”。
4. **动态更新**：定期（如每季度）重新索要最新资质，防止过期证照。

如果供应商无法提供上述中“本批次检测报告”，可通过**农产品溯源平台**或**承诺拒收高风险品种**（如草莓、豇豆、芹菜等多农残品类）来降低风险。抽检若被判定不合格，超市作为销售方同样需承担处罚，因此**先索证后收货**是最关键防线。
