建议采购方优先采取**小批量试卖**策略，具体数量建议控制在**总库存预估月销量的10%-20%**，或单店/单渠道首批**1-2箱**（视单品规格和周转速度而定）。具体分步建议如下：

1. **评估因素**：
   - 新品与现有品类重合度（如果已有类似爆品，试卖量可稍低）
   - 保质期（如榴莲、浆果类短保品，试卖量需更谨慎）
   - 渠道客群（如高端超市/社区生鲜，首次可偏少）
   - 供应商是否承诺滞销退换（有承诺可适当增加）

2. **执行步骤**：
   - **第一步**：选定1-2家代表性门店或线上入口，首批进货1箱（约12-20公斤，视品种）。
   - **第二步**：设定1-2周试卖期，记录：日销量、复购率、损耗率、客户反馈（甜度、大小、价格接受度）。
   - **第三步**：若试卖期间日销＞60%的货量且复购率＞20%，可谨慎加量至预估月销量30%-50%；若滞销，立即停止或争取退货。

3. **避坑提醒**：
   - 避免一次性铺满全渠道，尤其避免在高峰季新品直接打堆头压货。
   - 务必要求供应商提供**试卖期支持**（如部分货品先赊销、免费样品或滞销补贴）。

综上，稳妥的做法是**首批控制在1-2箱/网点，且试卖周期不超过2周**，然后依据数据决定是否放量。
