针对超市水果区的客单价提升，建议采用**“引流品+高毛利品+关联品”**的组合策略，具体方案如下：

**方案：热带风情组合（推荐）**

- **组合内容**：**香蕉（引流品） + 菠萝（高毛利品） + 苹果（常备关联品）**
- **促销形式**：**“任意2件减3元，3件减5元”**（或**“加0.1元多一件”**），不强制捆绑销售，给顾客选择自由。
- **定价逻辑**：
  - **香蕉**：成本低、自发性购买强，保持正常低价（如1.99元/斤），作为吸引流量的商品。
  - **菠萝**：毛利较高（通常30%以上），可做**“加购价”**（如满2件可6折换购），或作为组合利润核心。
  - **苹果**：单价中等、耐储存，选择中等价位（如5-8元/斤），放在组合中间价位，平稳转化利润。
- **陈列与话术**：
  - 三个品类**相邻陈列**，用**黄色价格牌**醒目标注组合优惠。
  - 店员主动引导：“香蕉配苹果做沙拉，加个菠萝当饭后水果，今天组合买更划算哦。”
- **效果预估**：单笔客单价从约15元提升至25-30元；香蕉带动流量，菠萝提升毛利，苹果提高复购率。

**备选方案（季节或库存调整）**：
- **果切即食组合**：将菠萝切块、香蕉切片、苹果切瓣，做成**“混合果切盒”**，定价比单买更低（如原价12元/盒，组合价9.9元）。适合下班高峰时段，减少损耗且转化快。
- **周末折扣券**：购买任意两件水果即送**“下次满30减5元”**券，锁定复购。

**落地小贴士**：
- 组合促销的执行周期建议**不超过2周**，避免顾客疲劳。
- 配合**“每周一鲜”**水果尝鲜活动，保持新鲜感。
- 后台可观察**客单价、毛利率**变化，优先调取菠萝、苹果的**单品毛利对比数据**，及时调整组合力度。

如果需要更具体的数据测算（如不同城市的价格阈值），请告知水果区的位置（社区/写字楼）和主要顾客画像。
