食堂采购香蕉避免熟过头，核心是**控制采购节奏 + 分批催熟/储存 + 快到期的加工转化**。可以按下面做：

1. **按成熟度分批采购**
   - 不要一次全买同一成熟度。
   - 采购时明确要“青一点、刚转黄、已熟可吃”三种状态，按食堂未来3～7天用量分配。
   - 例如：当天用买已熟黄蕉；明后天用买微黄；大后天用买偏青。

2. **少量多次补货**
   - 香蕉后熟快，尤其夏天。把“每周一次大批量”改成“每2～3天小批量”。
   - 跟供应商约定可分批送，而不是一次性到货。

3. **到货后立刻分级**
   - 青的：常温放，避光、通风，不要堆太厚。
   - 微黄的：优先下一餐用。
   - 已熟带斑点的：当天用或优先做加工品。
   - 已经过熟的：立即转加工，不要再等。

4. **控制储存条件**
   - 未熟香蕉：常温存放，适合12～16℃左右，避免暴晒和闷热。
   - 已熟香蕉：可冷藏延缓继续变熟，但表皮会变黑，不影响内部使用；适合尽快食用或加工。
   - 不要和苹果、梨等释放乙烯多的水果混放，会加速香蕉成熟。
   - 不要密封闷放，容易捂坏。

5. **建立“先进先出”规则**
   - 后厨设专门区域，标日期和成熟度。
   - 先到先出、先熟先用。
   - 每天安排人检查一次，把快过熟的挑出来单独处理。

6. **快到期的做加工转化**
   - 熟香蕉适合做：香蕉奶昔、香蕉燕麦、香蕉面包/蛋糕、香蕉饼、香蕉粥、水果沙拉酱等。
   - 食堂可提前设定“熟蕉菜单”，一旦出现大量快熟香蕉就启动加工，而不是等烂掉。
   - 注意：加工也要符合食品安全，表皮严重腐烂、发酸、渗液的不要用。

7. **和供应商约定退换/调整**
   - 合同里写清成熟度标准，比如“到货以青黄为主，可食成熟度不超过当天用量”。
   - 如果供应商总送太熟，要求换货或调整配送批次。

8. **用量预测**
   - 统计每天实际消耗量，按“日均用量 × 1.2～1.5天”采购，不要按最大库存买。
   - 遇到放假、考试、活动等用餐人数变化，提前减量。

简单执行版：
**买青黄搭配、2～3天补一次、到货分级、先熟先用、熟过头就做奶昔/烘焙，别和苹果梨混放。**

最关键的是一句话：**不要追求一次买够，而是让香蕉按天成熟、按天消耗。**
