通常可以，但“给多少、以什么形式给”取决于你的采购量、结算方式、水果品类和供应商层级。水果供应商周末促销支持一般有这几类：

1. **价格支持**
   - **周末特价供货**：对指定单品给更低进货价，通常要求你承诺周末销量或提前备货。
   - **搭赠**：比如进10箱送1箱，相当于变相降价，比直接改价更常见。
   - **返利/补差**：你先按正常价进货，达到约定销量后返钱或下批抵扣。
   - **临期/尾货低价**：适合做限时特价，但品质和损耗要自己控。

2. **物料支持**
   - 海报、价签、爆炸贴、横幅、吊旗
   - 试吃盒、牙签、一次性手套、打包袋
   - 部分品牌供应商会给统一促销物料或门店装饰
   - 小供应商通常只能给简单价签或包装，大供应商/品牌方物料更全

3. **能不能给，主要看这几个条件**
   - **采购量**：周末备货量是否明显高于平时
   - **合作稳定性**：是不是长期固定采购
   - **结算方式**：现结通常比账期更容易谈支持
   - **品类**：应季水果、大宗单品更容易谈；稀缺高价水果空间小
   - **供应商层级**：一级批发商/产地直供比二级批发商空间大；品牌供应商比散货供应商更可能给物料
   - **促销是否帮供应商走量**：如果你的周末促销能帮他清库存或推新品，他更愿意支持

4. **建议你怎么谈**
   - 提前3—7天跟供应商说清楚：周末做促销，预计销量、主推单品、需要价格还是物料。
   - 直接提具体方案：比如“这个单品周末我备平时3倍的量，能不能给周末特价，或者进10箱送1箱？”
   - 物料优先要能直接促进销售的：价签、海报、试吃物料、打包袋。
   - 如果价格谈不下来，就谈搭赠、返利、免费送货、损耗补差。
   - 把支持写清楚：数量、单价、赠送、物料清单、送达时间，避免周末临时扯皮。

5. **现实情况**
   - 小水果店：供应商通常给少量价签、搭赠或周末特价，大额现金补贴很少。
   - 中型稳定门店：可以谈单品特价、返利、物料。
   - 连锁或采购量大：更容易拿到专项促销支持，甚至联合做活动。

一句话：**能谈，但要用采购量和销量承诺去换。优先谈“特价+搭赠”，其次谈物料，最后谈返利。**
