核实水果供应商的“全国配送”能力，不能只听口头承诺，要按“范围—时效—温控—成本—异常处理”五个维度验证。建议采购方按以下步骤操作：

1. **要求提供可验证的配送范围清单**
   - 不要接受“全国”这种模糊表述，要求供应商给出具体覆盖的省、市、区县，最好到“是否支持偏远地区/乡镇/冷链直达”。
   - 让对方提供近期真实发货记录，如物流单号、签收截图、客户所在城市，注意隐去敏感信息即可。
   - 可抽查几个你实际要发的偏远城市，比如新疆、西藏、内蒙古、青海、黑龙江部分地市，问是否直达、是否加价、是否转寄。

2. **核实物流合作方和配送模式**
   - 问清楚是自营冷链、第三方冷链、普通快递还是落地配。
   - 如果是第三方，要求提供合作物流名称、合作区域、是否支持水果类目。
   - 水果通常怕压、怕闷、怕温度波动，普通快递在夏季和远距离运输中风险很高，不能只看“能到”，要看“到货品质”。

3. **做小批量实测**
   - 选3—5个有代表性的目的地：近程、中途、远程、偏远、高温或低温地区。
   - 每单发少量真实水果，记录：下单到发货时间、物流轨迹、实际签收时间、到货温度、破损率、腐烂率、包装完整度。
   - 实测比任何承诺都可靠，尤其要测夏季和冬季各一次。

4. **核实时效和温控承诺**
   - 要求给出不同区域的时效表，例如华东次日、华南次日、华北隔日、西北3—5天等。
   - 问清冷链是否全程温控，还是只做“泡沫箱+冰袋”。后者在长距离运输中只能算简易保鲜，不是真正冷链。
   - 要求提供温控记录或冷链物流轨迹截图，若对方无法提供，说明其冷链能力可能有限。

5. **确认售后和异常处理机制**
   - 水果配送的核心风险是腐损、延误、拒收、二次转运。
   - 问清：出现腐烂、压伤、延误时如何赔付？是否包退包换？理赔时限多久？需要哪些照片或视频证据？
   - 最好在合同里写明：配送范围、时效标准、温控方式、腐损率上限、赔付比例、异常响应时间。

6. **用合同和试单结果约束**
   - 不要只凭试单就大规模合作。可先签短期或小批量协议，约定“若偏远地区无法直达或腐损率超标，采购方有权调整订单或终止合作”。
   - 要求供应商对“全国配送”做定义：是覆盖所有地级市，还是仅覆盖主要城市；是否含乡镇；是否含港澳台；是否额外收费。

7. **交叉验证口碑**
   - 可向其现有客户了解实际配送体验，尤其是和你同类的水果、同类目的地。
   - 查看其物流投诉、售后记录，但要注意不要仅凭单一评价下结论。

简单判断标准：
- 只给“全国可发”但不给区域清单、时效表、物流合作方的，可信度低。
- 能提供分区域时效、冷链方式、真实单号、试单配合的，可信度较高。
- 真正有全国能力的供应商，通常不怕你指定偏远城市试单，也敢把赔付条款写进合同。

最终建议：**先要清单，再要单号，再做试单，最后写进合同。** 这四步做完，基本能判断对方是“真全国配送”还是“全国都能转寄”。
