优先谈 **账期**，其次 **售后**，最后 **配送**。但这取决于你的业务阶段和现金流状况。

**核心判断逻辑：**

1. **账期最值得优先谈**
   - 水果是高频、刚需、损耗敏感品类，现金流占用大。账期直接决定你的资金周转压力。
   - 长期合作供应商通常有议价空间，账期从“现结/周结”谈到“月结30天/45天”，等于供应商给你一笔无息流动资金。
   - 关键：先确保价格和品质稳定，再谈账期；否则供应商可能用提价或降质来对冲账期成本。

2. **售后次优先，但必须前置明确**
   - 水果损耗率高，售后规则（烂果比例、补货/退款时效、责任归属）不清晰，后期扯皮成本极高。
   - 长期合作中，售后条款比单次赔付金额更重要。优先谈“坏果包赔标准”“到货验收时限”“补发时效”这三项。
   - 如果供应商在售后上爽快，说明其对品质有信心，也愿意承担长期责任。

3. **配送最后谈，但要有底线**
   - 配送频率、时效、起送量、运费分摊，直接影响你的库存周转和损耗。
   - 如果账期和售后已锁定，配送可以逐步优化；但“每日/隔日配送”“到货时间窗口”“冷链保障”是底线，不能含糊。

**执行建议：**
- 先谈账期，用“长期稳定采购量”换“月结账期”。
- 同步把售后规则写进合同或书面确认，避免口头承诺。
- 配送作为运营细节，在合作稳定后按季度复盘调整。

**例外情况：**
- 如果你现金流充裕、但损耗严重，则优先谈售后。
- 如果你门店缺货频繁、配送不稳，则优先谈配送。
- 如果供应商是强势品牌或独家货源，账期难谈，就先锁售后和配送。

一句话：**账期保现金流，售后保利润，配送保运营。长期合作先谈钱，再谈责，最后谈效率。**
