选择学校食堂水果供应商需要综合考量**食品安全、供货稳定性、成本控制和售后服务**。以下几个关键步骤和评估维度供参考：

1. **资质审核是底线**  
   必须要求供应商提供：营业执照、食品经营许可证、农残检测报告（每批次）、水果检疫证明。优先选择有**ISO22000食品安全管理体系认证**或**HACCP认证**的供应商。

2. **实地考察不可少**  
   - 查看仓储条件：香蕉需要恒温催熟库（16-18℃），蘋果和橙子需冷藏库（0-4℃）。  
   - 验收分拣流程：核对是否按学校要求提前分级（如按果径、成熟度分类）。  
   - 运输车辆：检查是否与生鲜、熟食混装，有无温控设备。

3. **供货稳定性评估**  
   - 要求供应商提供近3个月的供货记录（尤其是寒暑假开学前的高峰期）。  
   - 询问应急方案：如果香蕉在采摘后出现黑斑、苹果霉心病的情况，能否在4小时内替换？  
   - 推荐选择**产地直供+区域分仓**模式的供应商（如大型连锁超市的供应链团队）。

4. **成本核算精细化**  
   - 要求报价按**分等级单价**提供（如香蕉分A级（无斑、8成熟）和B级（有小斑点）），避免“统货价”陷阱。  
   - 对比市场均价时，注意计算损耗率：例如橙子运输中挤压破损的退换条款。  
   - 可要求赠送试用期（1-2周），通过实际用量验证损耗率低于5%。

5. **风险控制建议**  
   - 签订合同时注明“按日配送”条款：避免一次囤货导致香蕉过熟。  
   - 建立**3家备选供应商**制度（排名第一的占60%订单，第二第三各20%），防止垄断断供。  
   - 要求供应商投保**食品安全责任险**（保额不低于100万元）。

**推荐渠道**：  
- 本地农贸批发市场信誉好的老商户（可实地验货）  
- 具有学校食堂供应经验的冷链配送公司（如“美菜网”的校园版）  
- 大型超市的生鲜供应商（稳定性高但成本可能略高）

**立即行动**：先让意向供应商提供**1整周的免费样品**（按学校实际用量20%），同时对比三家后签短期合同（3个月），根据损耗率和满意度决定是否续签。
