结论：**大多数食堂按“斤结算”最好管理，但前提是能稳定验收；如果水果是标准化小包装、按份发放，则“按份结算”最省事。按箱结算通常最不推荐，除非整箱规格固定且不退换。**

可以按下面判断：

1. **按斤结算：适合多数食堂**
   - 优点：价格透明，按实际到货重量付款，损耗、缺斤少两容易追责；适合苹果、香蕉、橘子、西瓜等散装水果。
   - 缺点：验收工作量大，需要称重、记录、签字；水果水分变化、筐箱皮重容易扯皮。
   - 管理建议：
     - 固定验收人、复核人。
     - 明确“净重结算”，扣除筐、箱、托盘皮重。
     - 每周或每月对比市场价，设最高限价。
     - 保留称重单、照片、签字记录。

2. **按箱结算：只适合规格高度统一的品类**
   - 优点：收货快，不用逐批称重，适合苹果、橙子、梨等固定规格箱装水果。
   - 缺点：箱内大小、成熟度、坏果率不透明；容易出现“上层好、下层差”；价格波动时不好调价。
   - 适用条件：
     - 每箱品种、等级、净重、个数固定。
     - 供应商稳定，验收抽查坏果率。
     - 合同写明“净重、坏果率上限、包退换”。
   - 如果做不到这些，按箱结算最容易变成糊涂账。

3. **按份结算：适合窗口发放、员工自取**
   - 优点：管理最简单，采购、发放、成本核算都按份走，适合切好的果盒、酸奶水果杯、独立小包装。
   - 缺点：单价通常更高，份量可能缩水；供应商容易在克重和新鲜度上做文章。
   - 管理建议：
     - 合同写明每份净含量，比如“每份不低于200g”。
     - 定期抽检重量和新鲜度。
     - 适合作为补充方式，不适合所有水果都按份采购。

**最实用的组合方案：**
- 散装大宗水果：**按斤结算**。
- 固定规格箱装水果：**按箱结算，但合同按净重和坏果率约束**。
- 果切、果盒、小包装：**按份结算**。

**一句话建议：**
如果食堂有基本称重验收能力，优先选**按斤结算**；如果追求发放效率、水果是标准小份包装，选**按份结算**；按箱结算只能作为标准化品类的简化方案，不能作为主要管理方式。
