核心原则：**按“想吃的时间”倒推成熟度来挑，而不是只看黄不黄。**

可执行判断：

1. **今天/明天就吃**
   - 选：**通体金黄、少量褐斑**，果柄略干。
   - 避免：青绿、硬邦邦；或已经大面积发黑、渗汁。

2. **2～4天后吃**
   - 选：**黄色为主、两端或果柄还带一点青**，捏起来有弹性但不软塌。
   - 这种回家放室温会继续熟。

3. **5～7天后吃**
   - 选：**明显偏青、硬**，但不要选表皮发暗、冻伤、裂口的。
   - 回家别马上放冰箱，先室温催熟。

4. **想延长保存**
   - 买偏青一点的。
   - 到家后**不要拆散**，整串放阴凉通风处。
   - 熟到刚好后，再放冰箱冷藏，能多撑几天。
   - 想催熟：和苹果/熟香蕉放同一个纸袋里，室温放置。
   - 想减缓成熟：成熟后进冰箱；不要和苹果、熟香蕉放一起。

5. **现场快速判断**
   - 看：颜色越黄越熟，褐斑越多越熟。
   - 摸：硬=生，弹=适中，软=熟，塌/出水=过熟。
   - 看柄：果柄发黑、发霉、断裂的别买。
   - 看棱：棱角很明显通常偏生；圆润饱满通常更熟。

一句话：**当天吃选带褐斑的金黄蕉；过几天吃选黄中带青；一周后吃选偏青硬蕉。**
