判断香蕉批发商是否稳定供货，不要只看他说“有货”“产地直发”，要按下面几个点核验。

1. **看货源结构，不只看他有没有货**
   - 问清楚：是自有基地、长期包园、合作代办，还是临时市场调货。
   - 稳定供货通常有固定产地、固定代办、固定装工和运输渠道。
   - 如果他说“全国哪里便宜发哪里”，大概率是炒货，价格可能低，但断供、品质波动也大。

2. **问具体产地和季节**
   - 香蕉主产区会随季节切换，比如广西、云南、海南、老挝、缅甸、菲律宾、厄瓜多尔等。
   - 稳定供货商能说清楚：当前发哪个产区、下个月切到哪个产区、天气影响是什么。
   - 只会说“云南蕉”“进口蕉”但讲不清县、镇、基地或装货点的，要谨慎。

3. **要求看近期连续发货记录**
   - 不要只看一张装车视频。
   - 让他提供近7天、15天的装车单、物流单、过磅单、催熟房出货记录。
   - 重点看是否同一产地、同一包装、同一规格能连续走货。
   - 如果每天发的货来源很杂、规格乱，说明供应链不稳定。

4. **先小批量试单，不要一上来压大单**
   - 第一单走小批量，比如1车或半车，按你档口实际销售规格来试。
   - 看四点：到货时间、青黄比例、条蕉饱满度、损耗率。
   - 再复购第二、第三单，观察是否同一品质。连续三单稳定，才谈长期账期和锁价。

5. **看催熟和加工能力**
   - 做批发档口，香蕉不是到货就能卖，催熟很关键。
   - 稳定供货商通常有固定催熟房或合作催熟房，能按你的销售节奏安排。
   - 问清楚：催熟几天、温度多少、是否支持定制熟度、途中是否打冷。
   - 如果对方完全不参与催熟，只是转手，后面品质问题容易扯皮。

6. **核验物流和到货时效**
   - 问常用物流线路、装车地点、到你市场的正常时效。
   - 稳定供货商对“几天到、走哪条线、堵车或口岸延误怎么处理”有明确说法。
   - 如果每次都说“快了快了”，没有固定司机、固定线路，断供风险高。

7. **看异常处理能力**
   - 直接问：如果到货黑心、青蕉不熟、烂把多、压伤严重，怎么赔？
   - 稳定供货商一般有明确标准：按比例扣款、补货、下一车抵扣，或视频验货后协商。
   - 只说“香蕉都有损耗，不赔”的，合作风险大。

8. **价格是否合理，警惕低于市场太多**
   - 一手货源不等于永远最低价。
   - 如果报价明显低于同产区同规格市场价，通常有坑：等级差、催熟费另算、运费另算、扣秤、以次充好。
   - 要问清是否含运费、含催熟、含卸货、含税、按毛重还是净重。

9. **实地或视频核验装货点**
   - 有条件就去产地或装货点看。
   - 没条件就视频连线看：装货现场、工人、包装、过磅、车牌。
   - 只发提前录好的视频，不愿实时看装车的，要小心。

10. **用合同或微信文字锁定关键条款**
   - 品种、规格、产地、等级、成熟度、数量、单价、运费、催熟费、到货时间、损耗赔付。
   - 不要只靠语音承诺，尽量让对方发文字确认。
   - 第一次合作最好走对公或可追溯账户，避免纯私人转账无凭证。

简单判断标准：
- **能说清产地、季节、规格、催熟、物流、赔付**：相对靠谱。
- **能连续小批量稳定交货**：可以进入长期合作。
- **只会低价催单、不愿试单、不愿文字确认、异常不赔**：不要当主力供应商。

建议你先找2—3家同时试单，不要只押一家。香蕉价格和产区波动大，稳定供货的核心不是“永远有货”，而是**有固定产地、能按规格连续发、出问题能处理**。
