针对社区超市销售小包装香蕉，采购环节需要重点把控**包装规格**和**损耗控制**两大核心问题。以下是具体的实操建议：

### 一、包装规格（关键决策点）

1. **定量与定价**
   - **建议净重**：小包装建议按**500g-750g**（约2-4根）为一组，符合“一次吃完”或“两三天内吃完”的社区消费习惯。
   - **避免按“根”散装**：一定要有明确的净重标签，方便称重计价和后台盘点。
   - **建议售价区间**：建议单包售价控制在3-8元区间，属于冲动型消费的“黄金价格带”。

2. **包装材质选择**
   - **首选带透气孔的PET或PP托盘+保鲜膜/封膜**：必须留透气孔，防止香蕉“闷熟”加速黄变。
   - **避免全封闭塑封袋**：全封闭会导致袋内湿度过高，容易产生水汽，加速果皮发黑和滋生微生物。
   - **加装海绵/纸垫**：在盒底垫一层吸湿海绵或皱纸，吸收乙烯和冷凝水，延长货架期。

3. **成熟度分级包装**
   - **绿转黄**（约7-8成熟）：适合当天或次日销售，果皮微青，口感稍硬。
   - **全黄无黑斑**：建议当日售完，不得过夜。
   - **包装上明确标注**：“今日食用”或“2-3天内食用”，避免顾客因熟度不符产生投诉。

### 二、损耗控制（采购源头&上架前）

1. **源头采购标准**
   - **签订供货协议时明确**：供应商必须提供**7-8成熟**的香蕉（即果皮呈半绿半黄状态）。如果采购全黄果，会面临大量折价损耗。
   - **抽查拒收**：收货时开箱检查，发现**果柄断裂、果皮破损超过果面5%、有黑斑或软化流水**的，直接拒收或要求供应商调换。
   - **批次控制**：小包装建议**小批量、高频次**采购（如每天或隔天到货），避免大库存积压。

2. **上市前的处理流程**
   - **分拣剔除**：上架前进行二次分拣，挑出熟度不一致的果子。未成熟的（全青）不要硬包，直接退回或折价给熟客。
   - **不提前清洗**：香蕉包装前**绝不水洗**，表面水渍是导致发霉变黑的首要原因。
   - **操作轻拿轻放**：包装工人须佩戴手套，避免指甲掐伤果皮，因为“黄皮白点”的黑斑就是物理磕碰产生的。

3. **陈列与存储管理**
   - **上架原则**：遵循**先进先出**，新货放后、旧货放前；并且**不推荐大量堆放**，小包装建议平铺陈列，避免互相挤压。
   - **远离热源**：不要放在阳光直射下，远离散热器、空调出风口，否则会瞬间催熟。
   - **夜间回冷库**：晚上打烊后，将未售完的香蕉小包装放入**10-12℃**的冷库或保鲜柜（注意**不可低于8℃**，否则会“冻伤”变黑）。

### 三、损耗预警与应对

- **建立临期处理机制**：当天未售完、果皮出现褐斑但果肉完好的，应立即**拆掉包装**，降价促销或做“今日特价”。不要等明天直接报废。
- **计算损耗率阈值**：社区超市小包装香蕉的综合损耗率控制在**5%-8%**以内（含自然熟变和物理破损）。如果连续两周超过10%，说明采购成熟度或包装透气性存在问题，需要重新调整。

**总结一句话**：包装选**透气托盘+定量称重**，采购拿**7-8成熟**（坚决拒收全黄果），全程不沾水、轻拿轻放，上架后**先进先出+当日清货**。这样的操作能有效把损耗降到最低。
