针对批发档口拓展餐饮客户，菠萝和香蕉的规格需根据餐饮用途（如果切、饮品、烘焙、甜品等）来准备。以下是具体建议：

### 一、菠萝规格
1. **整果（标准规格）**  
   - **重量**：1.5-2.5公斤/个（台湾金钻、都乐金菠萝）或3-5公斤/个（大果，如巴厘）。  
   - **成熟度**：选择九成熟（果眼泛黄、散发浓郁香气），避免过熟（易软烂）。  
   - **供应形态**：带皮整果或去头尾去皮切块（需真空包装）。  
   - **适用场景**：餐厅果切、沙拉、饮品店（如菠萝冰沙、果汁）。

2. **加工半成品**  
   - **菠萝块/丁**：1-2厘米立方体，冷冻包装（-18℃冷链），适合烘焙（披萨、蛋糕）或糖水罐头。  
   - **菠萝汁**：浓缩汁或NFC（非浓缩还原汁），适合调饮、冰沙。  
   - **规格建议**：1公斤/袋或 5公斤/桶。

3. **高附加值规格**  
   - **菠萝芯（硬芯）**：去除后的果肉用于果切，芯可单独出售（餐厅做果酱或腌渍）。  

### 二、香蕉规格
1. **鲜果（果切/饮品用）**  
   - **重量**：180-200克/根（中果，如南美卡文迪什品种），或120-150克/根（小果，如皇帝蕉）。  
   - **成熟度**：要求表皮全黄、无青绿、无黑斑（即“七成熟”），果肉紧实、甜度高（适合直接食用或打浆）。  
   - **包装**：5公斤/箱（约25-30根），或按需求混装。  
   - **适用场景**：早餐店（香蕉煎饼、果昔）、饮品店（香蕉牛奶、冰沙）。

2. **加工半成品**  
   - **香蕉泥**：无添加果泥（零下18℃冷冻），适合烘焙（香蕉蛋糕、马芬）、婴儿辅食。推荐包装：1公斤/袋或 500克/袋。  
   - **香蕉干**：脱水切片（无硫熏制），用于奶茶店装饰或烘焙（需预泡发）。建议规格：整片或切粒（5毫米大小）。  
   - **冷冻香蕉丁**：2-3厘米立方体，用于冰沙、果昔或甜品装饰。

3. **高附加值规格（餐饮特需）**  
   - **成熟香蕉（“软熟”状态）**：表皮完全金黄带少量黑点（适合直接打浆），需标注储存温度（15-18℃）。  
   - **迷你香蕉（指蕉）**：长度10-12厘米，单根重量50-70克，适合高端甜品摆盘。

### 三、通用建议
1. **包装要求**  
   - 整箱包装需注明产地、净重、收获日期、保质期及储存温度。  
   - 冷冻品需采用食品级PE袋密封，附“冷链运输”标识。

2. **餐饮客户的痛点**  
   - **损耗率控制**：提供成熟度分级（如“即食级”“需催熟级”），帮助餐厅减少因存放不当导致的损耗。  
   - **恒温运输**：香蕉需避免高温（易发酵），菠萝注意防碰伤（果眼易裂）。

3. **区域口味差异**  
   - 北方市场偏好甜度高、纤维少的菠萝（如都乐金菠萝）；南方市场可供应酸度鲜明的本地品种（如湛江菠萝）。  
   - 香蕉在华南地区更流行迷你品种，华东/华北主推长蕉。

建议先以“标准整果+半成品”组合试销，收集餐饮客户反馈后调整规格。重点推荐与饮品连锁、烘焙店、酒店自助餐建立长期合作（可代开发定制规格）。
