判断茶饮连锁采购的菠萝供应商能否稳定按规格送货，建议从以下几个具体维度进行考察和验证：

1. **明确规格标准并签订合同**  
   - 将菠萝的成熟度（如糖度、颜色）、大小（如直径、重量范围）、外形（如无畸形、无机械伤）、包装（如单果套袋、纸箱规格）等写成书面标准，作为合同附件。  
   - 合同中明确“每批货的合格率”和“延迟交货的违约条款”（如扣款比例、补货时限）。

2. **要求提供产地与批次证明**  
   - 要求供应商提供菠萝的产地证明、采摘时间、运输记录。稳定的供应商通常能提供可追溯的种植基地信息（如基地面积、品种、采摘周期）。  
   - 对供应商进行实地考察，查看其分选、冷藏、装载流程是否统一标准。

3. **分阶段试单测试**  
   - 先下小批量试单（如3-5吨），要求供应商按最终规格送货。到货后逐一检查大小、成熟度、损坏率，并记录准时率。  
   - 试单通过后再追加中批量订单（如10-20吨），对比两次到货的一致性。若合格率持续低于95%，则取消合作。

4. **设置浮动验收标准与记录反馈**  
   - 到货后立即抽检（如按10%比例开箱验货），记录实际规格与标准差异。将不合格比例反馈给供应商，要求其书面提出改进措施。  
   - 对长期合作的供应商，可建立“到货质量档案”，按月统计合格率、准时率、退货率，并定期进行评级（如A级优先采购、C级淘汰）。

5. **关注产地季节性波动**  
   - 菠萝主产区（如海南、广东、泰国）有自然产季差异。要求供应商提供全年供货计划，并确认其是否有冷库、多地调货能力，以应对淡季时的规格稳定性。

6. **第三方检测与备选机制**  
   - 对高价值订单，可委托第三方检测成熟度、农残等核心指标。  
   - 同时储备2-3家备选供应商，避免单一依赖。若首选出问题，可快速切换到已验证稳定性的备选。

**关键执行要点**：  
- 每次到货后立即拍照、记录，作为争议依据。  
- 初期合作时，付款条款可设为“到货验收合格后付80%，稳定供货6个月后付尾款”。  
- 考虑使用冷链物流（控温在13-18℃），减少运输中导致的成熟度变化。  

通过上述“标准先行、试单验证、持续跟踪”的组合方法，能有效筛选出具备稳定供货能力的菠萝供应商。
