选择适合批量配送的水果供应商，需重点关注**稳定性、成本、新鲜度和售后**。以下是可按步骤操作的选择建议：

**第一步：明确需求清单**
- **数量与频率**：每周/每天需要多少箱？需提前多久下单？
- **种类偏好**：选应季、耐储存的水果（如苹果、橙子、香蕉、梨）还是高端易损类（车厘子、草莓）？
- **预算范围**：每份/每斤的预算上限。

**第二步：筛选供应商渠道**
- **本地农批市场**：价格通常最低，适合量大自提；但需自备车辆或对接货运。
- **本地生鲜配送平台**（如美菜、快驴等）：配送稳定、有售后，但单价稍高。
- **产地直供/合作社**：通过电商平台或微信寻找产地，需自行验证资质，适合大批量。

**第三步：考察供应商硬指标**
- **资质**：要求提供营业执照、食品经营许可证，农产品需有合格检测报告。
- **配送能力**：能否保证**次日达**或**定时达**？是否具备冷链车？（夏季尤为重要）
- **损耗处理**：合同中明确“坏果包赔”比例（如超5%免赔换货），交货时随机开箱抽检。

**第四步：索要样品并试单**
- 先要**1~2份样品**，检查甜度、大小均匀度、新鲜度（果柄是否鲜绿、表皮无软烂）。
- 下一笔**小额试单**（如50份），观察实际到货质量、配送准时率。

**第五步：谈判与签订合同**
- 价格模式：固定单价（按周调价）或锁价（一次性签1-3个月，锁定涨幅）。
- 付款方式：首单货到付款，后续月结或周结；保留部分尾款作为质量保证金。
- 条款重点：缺货补偿（提前1天告知）、延迟赔付标准（如每箱返X元）、季节性降价条款。

**最后提醒：**
- 优先选**有固定冷库**的供应商，避免路边摊拼货。
- 可同时备选2家供应商，互相制衡，防止一家断供。
- 初次合作先签1个月短期合同，评估后再续签长期。

如果无法当场验货，要求供应商在包装箱上标注**采摘日期和产地**，并通过视频验货（开箱随机抽3箱展示）。
