选水果供应商时，**最应该先问“配送”和“售后”，然后再谈价格**。为什么？因为水果是生鲜品，时效性和损耗率是命门。价格再低，如果配送不及时、售后不负责，你的团购口碑会瞬间崩塌。

具体优先级和问法如下：

**1. 配送（第一优先级，卡死时间）**
- 问：**“几点前下单？当天能否送达？配送是冷链还是常温？”**
- 问：**“如果遇到天气或节假日，会不会延迟？延迟了你有预案吗？”**
- 问：**“配送费怎么算？满多少包邮？能送到我小区楼下还是只到某个驿站？”**
- 为什么：水果隔一天就是两个品质，配送延迟会直接导致客户退款和差评。

**2. 售后（第二优先级，定合作底线）**
- 问：**“如果有坏果、烂果，赔付标准是什么？是照价赔还是部分赔？”**
- 问：**“客户收到货后，多久内反馈算有效？超过24小时你管不管？”**
- 问：**“赔付是直接补发、退款，还是下次下单抵扣？”**
- 为什么：水果难免有损耗，售后爽快的供应商能帮你留住客户，推诿的会让你的微信群变成投诉群。

**3. 价格（第三优先级，匹配你的定价）**
- 问：**“给到我的团购价是多少？量大有阶梯价吗？”**
- 问：**“这个价格是含包装、含损耗补贴吗？”**
- 注意：不要一上来就砍价，先让对方报价，然后对比同品质货源的平均价。如果价格比市场低太多，要警惕是不是次果或变熟度过高。

---

**给你的实操建议：**
- 第一次合作，先小批量试单（比如50斤），测配送时效和售后反应，再谈长期大货和价格。
- 优先选**本地或本省**的供应商，配送距离越短，品质越可控。
- 把上述问题整理成文字，直接发给对方，看对方回复速度和是否正面回答——这本身就是一次“筛选”。

一句话总结：**先保质、再保量、后谈钱。** 配送和售后决定你能不能活，价格只决定你能赚多少。
