茶饮店在采购水果时，为了控制食品安全风险，水果供应商需要提供以下关键证明及文件。建议你将这些要求写入采购合同，并定期复核更新：

**1. 主体资质证明（证明其合法经营）**
- **营业执照**：必须包含水果销售或农产品经营等相应经营范围。
- **食品经营许可证**（如涉及预包装、散装或初级食用农产品销售，部分区域要求）。
- 若为农户直供，需提供**身份证复印件**及**产地证明**。

**2. 产品合格证明（证明批次安全）**
- **食用农产品合格证**（或产地证明/质量安全承诺书）：这是当前最核心的入市凭证，需注明品名、产地、数量、合格声明、出具人签名及联系方式。
- **农药残留检测报告**：每批次或定期（如每月）提供，须由具备资质的第三方检测机构（如当地农检中心、SGS、华测等）出具。
- **重金属及污染物检测报告**：（如铅、镉、汞等）建议每半年或每年索取一次检测报告。
- **进口水果**：需提供**入境货物检验检疫证明**（海关出具的电子或纸质单证）。

**3. 追溯与储存证明（确保冷链合规）**
- **进货台账或溯源凭证**：供应商应能提供该批水果的来源记录（从哪个基地/合作社采购）。
- **冷链运输记录**：如使用冷运车，需提供运输温度记录单，确保全程2-8℃（草莓、蓝莓等）或特定温度，防止霉变。

**4. 特定高危水果的附加证明**
- 例如**草莓、杨梅、樱桃**等需在采摘季索取**执法检查报告**或**高风险农药项目检测**（如多菌灵、克百威、甲拌磷等）。
- 如果是**鲜切水果**（如已切好的芒果粒），供应商还需提供**食品生产许可证**及**生产日期/保质期证明**，并对微生物（大肠杆菌、菌落总数）有合格报告。

---

**实用执行建议：**
- **每次送货**：要求供应商随货附上一张**“当批次合格证”**（手写盖章均可），内容包含：品名、重量、送货日期、承诺无农残超标、联系电话。
- **存档管理**：店内建立“供应商档案”，至少保存上述证明的**扫描件**，并设置到期提醒（如营业执照年审、检测报告有效期）。
- **动态抽检**：即使有证明，建议茶饮店每月在到货水果中随机取样，送当地疾控中心或第三方快检（费用低，约几十元），作为内部复核手段。

**防坑提示：** 如果供应商无法提供任何检测报告，或仅提供“口头保证”，强烈建议更换供应商。食品安全法第136条及《农产品质量安全法》均明确规定，采购方有义务查验并留存合格证明。
