针对水果店减少香蕉损耗的问题，采购时的关键是**控制“青度”和“到货节奏”**，而不是一味要求“全熟”。以下是可执行的具体建议：

**1. 熟度要求（关键指标）**
- **不要买“全黄”香蕉**（货架期只有1-2天，极易放坏）。
- **明确要求“青转黄”状态**：即香蕉整体呈黄绿色，果柄处带青，触摸有弹性但不软。这种熟度可以直接上架，常温下可卖3-5天。
- **区分用途**：
  - 若当天要卖：可允许有1-2根全黄，但整把不能全熟。
  - 若作为长期库存：应要求“全青微黄”（颜色七青三黄），可存放一周以上。

**2. 到货时间要求**
- **按销量倒推**：到货时间应安排在**高峰期前24-48小时**，且**不能一次性到满月量**。
  - 例如：周末销量大，则周四/周五到货；周一销量低，周日不要到大批量。
- **要求分批到货**：不要一次性下大单。和供应商协商**每周分2-3次配送**，每次只送2-3天的销量，避免积压。
- **明确“到货即验收”时限**：要求供应商在**早上8点前**送达，确保当天有充足时间通风、上架，避免闷在箱内加速熟化。

**3. 附加要求（防损耗关键）**
- **要求“冷链接力”**：采购时明确要求供应商在**13℃-14℃**环境运输（不能低于12℃防冻伤，不能高于15℃防快速成熟），到货后第一时间拆箱散热。
- **要求“顶部开孔”或“透气包装”**：纸箱必须有通风孔，拒绝塑料袋密封包装。
- **到货验收时**：抽查果柄是否褐变、皮有无黑点，若有则拒收或要求折价。

**4. 执行话术模板（对供应商）**
> “我们要的是‘七青三黄’的货，今天下单，后天早上8点前必须送到。分两箱装，一箱全青的备用，一箱微黄的今天上架。运输温度控制在13度，纸箱要开透气孔，到货验收不合格我直接拒收。”

**5. 风险规避**
- **不要签月度固定量合同**，改为**周订单+浮动补货**（每周一报量，周三根据销量补一次）。
- 如果供应商只能整箱卖，则要求**整箱内熟度均匀**，避免一箱有的熟透、有的全青。

**最终总结**：采购时最核心的指令是“**要青的，按周分批送**”。只要熟度偏青、到货频次高，香蕉损耗就能大幅降低。
