关于大型商超（如山姆、盒马、永辉等）对供应商的冷链物流要求，这通常是指供应商必须具备覆盖商超门店所在城市的冷链配送能力。

针对你提到的**鑫荣懋**（鑫荣懋果业）和**都乐**（Dole），这两家都是国内大型水果供应商，自身建有或长期合作第三方冷链物流体系，**它们的配送覆盖范围非常广，基本覆盖全国一二线城市及大部分三四线城市**。

具体来说：

1.  **鑫荣懋（Joywing Mau）**：
    *   全国布局：拥有20多个加工配送中心，覆盖华北、华东、华南、华中、西南、西北等区域。
    *   重点城市：北京、上海、广州、深圳、杭州、南京、武汉、成都、重庆、西安、郑州、长沙、沈阳等。
    *   商超合作：主要供应山姆、Costco、盒马、永辉、华润万家、大润发等全国连锁，只要这些商超有门店的城市，基本都在其冷链配送辐射范围内。

2.  **都乐（Dole）**：
    *   全国布局：在主要港口城市（如上海、广州、青岛）设有大型冷库和分拣中心，并通过第三方物流覆盖全国。
    *   重点城市：同样覆盖北上广深一线城市，以及各省会城市和沿海发达城市（如宁波、福州、厦门、青岛、大连等）。
    *   商超合作：都乐是沃尔玛、永辉、华润、盒马等大型商超的长期供应商，其冷链配送通常能直接到店。

**总结与建议：**
如果你是在做供应商准入评估或采购对接，**建议直接向鑫荣懋或都乐的官方商务渠道索取“最新配送覆盖城市清单”**，因为商超门店不断扩张，其服务区域也在动态调整。

*   **执行建议**：在签订合同或协议时，明确要求“物流配送需覆盖我方所有在营门店”，并附赠对赌条款（如配送延迟扣款），这是大型商超的通行做法。如果覆盖不足，通常商超会要求供应商在当地自建前置仓。
