针对进口菠萝旺季缺货问题，可以采取以下应对措施：

1. **提前锁定货源**：与稳定供应商签订长期合作协议，预留旺季产能。  
2. **替代渠道补充**：联系其他产地（如菲律宾、泰国、哥斯达黎加）的供应商分散风险。  
3. **冷链与库存管理**：提前储备符合冷链标准的菠萝，延长销售窗口。  
4. **国产替代方案**：在缺货期主推海南、广东等国产菠萝品种。  

关于**都乐（Dole）**与**洪九果品**的基地直供优势对比：  
- **都乐**：  
  - 拥有全球性种植基地（菲律宾、哥斯达黎加、厄瓜多尔等），产业链完整（从种植到物流），旺季供应稳定性强。  
  - 对大型商超、连锁渠道的直供比例高，采购成本可控。  
- **洪九果品**：  
  - 主要聚焦东南亚水果（如泰国、越南），在菠萝品类上基地规模小于都乐，但通过“端到端”模式（产地直采→国内分销）降低中间成本。  
  - 优势在于灵活性和对细分市场（如社区团购、批发市场）的快速响应。  

**建议**：若需要大规模、高稳定性的菠萝供应，优先选择**都乐**；若侧重灵活调配和地方市场覆盖，可考虑**洪九果品**。
