社区超市找每日配送的水果供应商，核心不是“找最便宜的”，而是找**能稳定供货、损耗可控、账期和退换规则清楚**的。建议按下面这些条件逐项判断。

1. **配送稳定性**
   - 能否每天固定时间送达，比如早上6—8点前到店。
   - 节假日、雨天、旺季是否照常配送。
   - 临时加单、减单、改单截止时间是几点。
   - 缺货时提前多久通知，是否有替代方案。

2. **水果品质与等级**
   - 是否按等级分货，比如一级果、二级果、统货。
   - 规格是否稳定，比如单果重量、箱重、个数。
   - 成熟度是否适合社区店当天到货、1—3天销售。
   - 是否支持试销和看样，不能只看图片报价。

3. **损耗与售后**
   - 到货坏果、压伤、腐烂、规格不符怎么赔。
   - 是补货、换货还是直接扣款。
   - 售后申报时限，比如到货2小时内还是当天。
   - 损耗率大概多少，是否愿意书面约定。
   - 这一点对社区超市最重要，因为水果毛利 often 被损耗吃掉。

4. **价格与结算**
   - 报价是含税含运费还是裸价。
   - 价格随行就市时，提前几天报价。
   - 是否支持账期，比如周结、半月结。
   - 是否有起送量、押金、返点、陈列支持。
   - 不要只比单价，要算“到店可售成本”。

5. **品类与季节供应能力**
   - 常备品类是否覆盖：苹果、香蕉、橙橘、梨、葡萄、西瓜、时令果等。
   - 能否按社区消费水平配货，而不是硬塞高端果。
   - 反季节果、进口果是否有稳定渠道。
   - 是否有一件代发或小批量混装能力。

6. **仓储与冷链能力**
   - 是否有冷库、分拣场地、冷链车。
   - 叶菜类、浆果类、切果类是否冷链配送。
   - 分拣是否干净，是否混装挤压。
   - 包装是否适合社区店陈列和二次搬运。

7. **资质与合规**
   - 营业执照、食品经营许可证或相关流通资质。
   - 产地证明、检测报告、农残检测是否可提供。
   - 能否开票，发票类型和税率是否匹配。
   - 出现食品安全问题时如何处理。

8. **合作灵活度**
   - 是否接受小批量起步，比如先每天几箱试。
   - 是否允许调整品类结构。
   - 是否愿意配合社区店做促销、特价、团购。
   - 业务员响应速度如何，出问题能否及时找到人。

9. **实地考察建议**
   - 去对方档口或仓库看：库存、分拣、冷库、车辆。
   - 连续试配3—7天，记录到货时间、坏果率、缺货率。
   - 对比2—3家供应商，不要一开始只签一家。
   - 先谈短期合作，稳定后再签长期协议。

10. **合同里必须写清**
   - 配送时间、频次、起送量。
   - 品质标准、验收方式、损耗赔付。
   - 价格调整机制、账期、结算方式。
   - 缺货违约、食品安全责任、终止合作条件。

简单判断标准：  
**每天能准时到、坏果有人赔、规格稳定、价格能算清、售后找得到人**，这五点比“报价最低”更重要。  
建议先找本地批发市场、周边果园合作社、区域水果供应链公司、线上B2B平台各谈1—2家，试配一周后再定。
