商超会员日水果活动，供应商要把“货、价、陈列、履约、应急”五件事提前锁死。可按下面清单推进：

1. 提前确认活动机制
- 明确活动时间、门店范围、会员价/折扣力度、限购规则、是否叠加券。
- 确认预估销量、主推单品、引流单品、利润单品和替补单品。
- 和采购确认结算方式：正常结算、返点、特价补差、损耗补贴谁承担。

2. 商品与价格准备
- 提前锁价：活动价、供货价、市场波动处理机制写清楚，避免临近活动涨价。
- 选品结构：引流款要便宜且量足，利润款要品质稳定，搭配款做连带。
- 规格统一：按商超要求的箱规、斤重、果径、糖度、成熟度、包装标准供货。
- 备货量：按平时销量、活动预估、门店数、天气、节假日做1.5到2倍安全库存。
- 替代方案：主推品缺货时，提前准备同价位、同用途的替补品。

3. 品质与分级
- 活动前至少提前3到5天确认果园/加工厂出货标准。
- 到仓前做农残、糖度、硬度、外观、大小分级抽检。
- 明确次品率上限、退换货标准、拍照留证流程。
- 易损水果要提前做防压、防磕、防冻/防热包装。

4. 物流与到店履约
- 确认配送频次：活动前1天铺底，活动当天补货，活动后清尾。
- 确认到店时间：避开商超收货高峰，最好按门店排定小时级到货表。
- 冷链/常温要求写进送货单，温度记录随货或可查。
- 每店配货量按门店历史销量分配，不要平均分。
- 提前和门店店长/生鲜主管对接收货人、电话、卸货口、托盘/周转筐回收。

5. 陈列与物料支持
- 供应商可提供：堆头箱、围挡、价签、爆炸贴、试吃台、试吃果、手套、牙签、垃圾盒。
- 提前给陈列建议：端头/堆头/冷柜/常温区怎么摆，哪些做量感，哪些做试吃。
- 试吃果要单独备货，不能占用销售库存。
- 若商超允许，安排促销员或督导巡店，重点看缺货、品质、价签。

6. 人员与巡店
- 活动前开对接会：采购、门店、供应商、物流四方对齐。
- 活动期安排巡店：重点门店每天至少1次，拍照回传排面、库存、价格。
- 设置补货触发线：比如库存低于当日预估销量30%就补。
- 安排应急联系人，处理缺货、品质投诉、价签错误。

7. 风险与应急
- 天气风险：高温、降雨、寒潮会影响销量和损耗，提前做加减量预案。
- 价格风险：行情大涨时，按合同执行或提前书面协商，不要活动当天断供。
- 品质风险：备一批应急果，出现集中投诉可快速换货。
- 损耗风险：明确活动后尾货处理方式，折价、退货、转其他渠道还是供应商拉回。
- 客流风险：如果活动爆量，优先保引流品和主推品，利润品可临时调价或替换。

8. 活动后复盘
- 统计每店销量、售罄率、损耗率、退货率、客诉率。
- 对比预估与实际，找出选品、备货、物流、陈列问题。
- 结算补差、损耗、退货费用，形成下次会员日SOP。

一句话：供应商要在活动前把“卖什么、卖多少、什么价、什么标准、怎么送、谁来盯、出问题怎么办”全部书面确认，并至少提前3到7天完成备货和到店演练。
