茶饮店在采购水果供应商时，为控制食品安全风险，应要求供应商提供以下关键证明和文件：

1. **营业执照**：证明供应商是合法经营企业，具备食品经营或生产资质。

2. **食品生产/经营许可证**：若为预包装水果或加工产品（如切好的果丁），需提供该证。若为新鲜水果初加工，需确认其经营范围包含相关环节。

3. **农产品合格证明**：由农业农村部门或其委托机构出具，证明农药残留等指标符合国家强制性标准。

4. **产品检验报告**：每批次的水果应有第三方或供应商自检的报告，重点涵盖农药残留（如有机磷、拟除虫菊酯类）、重金属（铅、镉等）、致病菌（沙门氏菌、大肠杆菌等）。

5. **进货凭证**：供应商应提供其上游采购的发票或送货单，证明水果来源可追溯。

6. **保质期及储存条件说明**：尤其是鲜切水果，提供明确的保存期限、冷链运输记录和温度控制证明。

7. **食品经营备案（如适用）**：若供应商直接面向茶饮店提供散装水果，需在当地市场监管部门完成备案。

**特别注意**：  
- 对于**临时采购**或**小作坊来源**的水果，风险较高，建议要求供应商提供当批次的快检或抽检报告，并留存样品。  
- **可追溯性**：确保每批水果能追溯到具体产地、采摘日期和运输车辆信息。  
- **定期复验**：即使供应商提供了证明，茶饮店也应建立自己的验收记录和抽检计划，不能完全依赖供应商。

最终，您还可以参考当地市场监管部门关于食用农产品市场销售质量安全的管理规定（如《食品安全法》和《食用农产品市场销售质量安全监督管理办法》）来进一步细化要求。
