为了在超市买到熟度合适的香蕉，可以按以下步骤操作：

1. **看颜色**  
   - 想要当天或隔天吃：选择**亮黄色、带少量褐色斑点**的香蕉（斑点越多越甜，但需尽快食用）。  
   - 想要放几天慢慢吃：选择**黄中带绿尾**的香蕉（偏生，室温放2-3天会熟）。  
   - 避免：全绿（太生），或整体发黑、软塌有大量烂斑（过熟）。

2. **摸硬度**  
   - **轻微发硬但能按动**：最理想，软硬度适中。  
   - 手指按下去明显凹陷且不回弹：过熟。  
   - 按不动、像石头一样硬：太生。

3. **观察果柄连接处**  
   - 如果香蕉顶部（群柄）的切割面干燥、无霉斑，说明新鲜。  
   - 如果顶部发黑、潮湿或有霉菌，可能存放过久或内部已变质。

4. **整把看完整度**  
   - 同一串香蕉中，外层的香蕉通常先熟，内层更生。  
   - 若整串颜色均匀，最外层的已微有斑点，内层的就能放更久。

5. **避坑小技巧**  
   - 不要买被塑料袋密封包装的香蕉（容易加速熟化变黑）。  
   - 想延长存放：买偏生一点的（黄中带绿），回家后挂在阴凉通风处，不要放冰箱冷藏（除非已全熟）。  
   - 如果买的有点生，可以和苹果或梨一起放纸袋里催熟。

出发前想好“马上吃”还是“囤放”，按颜色和硬度挑对应的一串即可。
