供应商在商超会员日做水果活动时，提前准备的核心要点包括以下5个方面（按优先级排序）：

1. **库存与品质摸底**  
   - 提前7天确认活动期间预估销量（根据商超历史数据），预留安全库存（建议上浮20%）。  
   - 自查水果成熟度：避免过早采摘（口感差）或过熟（易损耗）。如草莓、蓝莓等易损品需标注建议到货时间。  

2. **包装与陈列方案**  
   - 提供定制包装方案（如“会员专享礼盒”），需符合商超上架标准（无尖锐边角、标识清晰）。  
   - 准备醒目价签（突出“会员价”和“非会员价”对比）、堆头或端架陈列设计图（建议用实拍图+返点位置说明）。  

3. **配送与冷链对接**  
   - 提前与商超确认到货时间窗口（避开早高峰卸货），安排恒温车辆（尤其热带水果）。  
   - 准备应急预案：如遇暴雨/高温，备用保温箱、干冰等防损耗措施。  

4. **促销物料与授权**  
   - 提供活动海报、线上素材（需商超审核版权，避免侵权图片）。  
   - 若涉及试吃，需提前办理商超临时促销人员工牌、健康证激活。  

5. **合同与结算条款**  
   - 明确退换货标准（如活动期水果出现磕伤、霉变是否由供应商承担）。  
   - 协商账期：会员日大促通常需供应商垫资，可提前申请缩短账期（如7天支付）。  

**执行建议**：  
- 在活动前3天，发送《活动检查清单》给商超对接人，逐项确认物料到位、人员排班。  
- 准备2-3款“超值引流品”（如1元/斤的应季水果），用于应对会员日当天客流激增时的临时调价需求。  

需要调整具体细则可补充说明（如水果品类、商超规模等）。
