采购香蕉做茶饮或甜品时，核心是把“熟度”当成一个可管理的变量，而不是碰运气。建议按用途分档采购，并配合到货验收和后熟管理。

## 一、先按用途定熟度

| 熟度 | 外观特征 | 适合做什么 |
|---|---|---|
| 3–4成熟 | 全绿、硬 | 不直接用，需后熟 |
| 5–6成熟 | 黄绿相间、微软 | 打泥后风味偏青，适合少量提香，不建议主用 |
| 7成熟 | 全黄、基本无绿 | 切块、奶昔、冰沙、香蕉牛奶 |
| 8成熟 | 金黄、出现少量糖斑 | 甜度高、香气足，最适合做甜品、香蕉泥 |
| 9成熟以上 | 大量褐斑、很软 | 只适合当天做香蕉泥/烘焙，不适合切块装饰 |

**关键判断：** 做装饰或切块，用7成熟；做泥、酱、奶昔，用8成熟；做香蕉面包/磅蛋糕，可用9成熟。

## 二、采购时怎么下单

1. **分批次买**：不要一次全买同一熟度。按3天用量滚动补货，避免集中过熟。
2. **按使用日期倒推**：香蕉从5成熟到8成熟，常温下通常需要2–4天，夏季更快。到货5–6成熟，留出后熟时间。
3. **指定到货熟度**：向供应商明确要求“到货5–6成熟、无褐斑、无压伤”，而不是只说“要香蕉”。
4. **按品种选**：茶饮常用香芽蕉/普通香蕉，香气柔；如果要做浓郁香蕉味，可考虑少量大蕉或特定品种，但需先测试配方。

## 三、到货验收标准

- **颜色**：按订单熟度验收，允许轻微色差，不接受大面积褐斑。
- **硬度**：轻按有弹性，不能软塌；做切块的必须偏硬。
- **果柄**：果柄完整、不霉变。
- **表皮**：无裂口、无黑斑腐烂、无挤压伤。
- **气味**：有正常香蕉香，无酒精味、酸味。
- **温度**：夏季冷链到货后不要立刻进冰箱，先常温后熟。

## 四、门店储存与后熟控制

- **未熟香蕉**：常温、通风、避光，不要冷藏。可和苹果/梨同放加速后熟，但要每天检查。
- **接近成熟**：移到阴凉处或冷藏延缓，但冷藏后果皮会变黑，果肉仍可用。
- **已成熟**：当天用不完的，去皮切段冷冻，做奶昔/冰沙；或压泥加少量柠檬汁冷藏，当天用完。
- **先进先出**：按到货批次贴日期标签，先熟先用。

## 五、最实用的控制方法

**按“熟度+用途”双标签管理：**
- 到货贴：日期 + 初始熟度 + 预计可用日
- 每天挑一次：把8–9成熟的挑出来优先做泥/甜品，7成熟的做切块/饮品
- 设定报废线：出现酒味、果肉发暗、渗汁的，直接报废，不要用于饮品

## 六、一句话总结

**采购要买5–6成熟，使用要卡7成熟做块、8成熟做泥，9成熟只做烘焙；少量多批、先进先出、每天挑熟，是控制熟度最有效的方法。**
