判断菠萝熟度主要从颜色、气味、手感这几个方面入手，采购时建议优先选择“七八分熟”的，这样到店后还能放2-3天，减少堆放损耗。

具体判断方法如下：

1. **看颜色（最直观）**：
   - **太青（全绿）**：涩味重，甜度低，需要很长时间才能熟，而且不一定能完全变甜，不建议大量采购。
   - **青黄相间**：最佳采购成熟度。即上半部青绿、下半部（底部）开始转黄。这种菠萝在店里放一两天就能全熟，损耗最小。
   - **全黄或带部分深黄斑点**：已经熟透甚至过熟，买回来必须当天或隔天卖掉，否则很快就会腐烂发酸。

2. **闻气味（关键指标）**：
   - **无味或青草味**：太生，糖分积累不够，不好吃。
   - **有明显浓郁甜香（特别是底部）**：就是八成熟以上。这种香气代表着糖分转化好了，拿回去放一两天正好到达巅峰。
   - **有酒味或酸腐味**：过熟了，内部可能已经软化变质，不建议采购。

3. **摸手感（辅助判断）**：
   - **按顶部叶片**：轻松拔下一片叶子，说明熟了。拔不动则太生。
   - **按果皮**：果皮硬实、用手指压略有弹性感，为佳。如果按下去很软甚至有凹陷，说明内部开始坏。
   - **掂重量**：同等大小下，手感重的汁水更足，更饱满；轻的可能过老或水分流失。

**采购实操建议：**
- **尽量避免全绿和全黄**。全绿的风险在于“放不熟”就变坏，全黄的风险在于“卖不完”就全坏。
- **遵循“外青内黄”原则**：外表看起来青多黄少，但底部（果脐处）已经开始发黄、散发清香，这样菠萝处在“后熟期”，店内周转时间最宽裕。
- **看季节**：春夏季（4-7月）菠萝品质最好，成熟度可以稍微低一点采购；秋冬季菠萝偏酸，建议选稍黄一点的。

最后补充一点：菠萝是**非呼吸跃变型水果**（不像香蕉、苹果），**采摘后甜度不会再增加**，只会酸度降低、水分流失或腐烂。所以采购时重点关注**自然成熟度**，而不是指望靠放来变甜。
