判断香蕉的熟度和坏果风险，关键在于观察外观、触感和气味。以下是具体方法：

1. **外观检查**：
   - **颜色**：理想香蕉应为黄绿色或浅黄色，表面无大面积黑斑。若出现黑斑、发黑或暗色区域，可能已过熟或受损。
   - **果柄**：果柄完整、绿色为新鲜；若干枯、发黑或断裂，可能存放时间较长。
   - **果皮**：检查有无裂口、凹陷或水渍状斑点，这些易导致细菌侵入。

2. **触感判断**：
   - **硬度**：轻捏香蕉中部，果肉硬实为未熟或适熟；过软可能过熟或内部腐烂。若感觉松散或变形，需警惕。
   - **弹性**：轻微按压后能快速恢复原状，说明新鲜；若留下凹痕，可能已变质。

3. **气味辨别**：
   - **正常气味**：清淡的香蕉香气。
   - **异常气味**：若有发酵、酒精味或发酸，表示内部开始腐烂；若有霉味，则已发霉。

4. **到货时额外注意**：
   - **温度**：运输中温度过高（如高温车厢）会加速熟化；过低（如冰箱）可能冻伤果皮，果皮变黑但内部未熟。
   - **摆放方式**：检查货箱底部是否有挤压或躺倒的香蕉，这些容易受伤腐烂。建议抽样开箱查看中间和角落。

5. **实际风险点**：
   - 表面有小伤或磕碰处，24小时内易变黑并传染其他香蕉。若按3-5天销售，建议挑选硬度略高的青绿货；若急需出售，选黄绿或浅黄熟度均匀的。
   - 到货后若发现5%以上有明显黑斑或软烂，应拒收或与供应商协商降价。

操作建议：到货后立即开箱检查中间层香蕉（易被挤压），并随机取5-10根捏摸按压；若发现超过3根过软或有异味，整批货需谨慎处理。
