在连锁超市的供货合同中，针对降低门店坏果率并约定赔付，建议从以下几个关键条款入手，确保责任清晰、可执行：

1. **明确坏果标准与质检流程**  
   - 定义“坏果”：例如腐烂、霉变、严重机械损伤（影响销售价值）等具体情形，可附图片示例或等级标准（如按行业标准《NY/T 2640-2014》等）。  
   - 约定收货时：超市有权在收货后X小时内（如24小时）进行抽检，若坏果率超过约定阈值（如5%），买方需拍照/视频留存证据并通知供货方。  
   - 若门店存放导致二次损坏，需在合同中明确区分：供货方仅承担装车或交付前责任，超市须提供符合储存条件的说明。

2. **设置阶梯式赔付比例**  
   - 基础容忍率：如坏果率≤3%，不赔付。  
   - 超限赔付：  
     - 3%＜坏果率≤8%：按超出部分货值的1.5倍赔付（例如：单价100元/箱，坏果率10%，超出3%部分为7箱货值700元×1.5=1050元）。  
     - 8%＜坏果率≤15%：按超出部分货值的2倍赔付。  
     - 坏果率＞15%：买方有权拒收该批次货物，且供货方需赔偿整批货款的30%作为违约金。  
   - 可叠加约定：若同一供货方连续3批次坏果率超标，超市有权解除合同。

3. **赔付方式与时限**  
   - 明确赔付以扣除货款、现金支付或抵作下次货款的方式；  
   - 约定供货方在收到通知后X个工作日内确认并支付，逾期按日万分之五加收滞纳金。

4. **特殊情形免责**  
   - 不可抗力（如运输途中的极端天气）造成的大面积坏果，供货方需提供第三方证明（如气象局报告），适用合理比例减免责任；  
   - 超市自选、分拣或理货不当导致的损耗，超市需自行负责。

5. **举证与争议解决**  
   - 要求超市在发现坏果后及时发送带时间戳的照片/视频及数量统计；供货方有权在X小时内远程或委托第三方核实；  
   - 约定由超市所在地法院或仲裁机构管辖，节省维权成本。

**示例条款（简化版）**：  
> “乙方（供货方）交付的水果坏果率不得超过3%。甲方（超市）在收货后24小时内进行抽检，以双方确认的《坏果标准》为准。超出3%的坏果，乙方应按超出部分货值的1.5倍向甲方支付违约金，并在7个工作日内结清。若同一乙方连续三批货坏果率超过5%，甲方有权单方解除本合同，乙方还需赔偿整批货款的20%作为赔偿。因甲方储存不当造成的损耗，乙方不承担责任。”

建议在合同附件中一并附上《坏果等级示例图》和《日常存储指南》，减少后续扯皮。如果门店分布广泛，可考虑引入第三方检测机构作为争议时的仲裁方。
