在商超采购和销售菠萝时，**建议走“整果为主、切果为辅”的组合模式**，但最终比例取决于商超的定位（社区店、精品店、大卖场）和目标客群。

**一、整果销售的优劣势**

- **优势**：
  - **损耗可控**：未切开时耐储存，常温可放3-5天，冷柜可更长；坏果能及时挑出，损失直观。
  - **毛利高**：没有加工人工和包装损耗，定价空间大。
  - **消费场景完整**：适合家庭自用（习惯自行处理）或送人。
- **劣势**：
  - **门槛高**：很多顾客（尤其是年轻人和租户）嫌削皮麻烦，会放弃购买。
  - **单价高**：整果动辄十几二十元，对单人消费者不友好。

**二、切好销售的优劣势**

- **优势**：
  - **即买即食**：适合白领、学生、年轻情侣，冲动购买率高。
  - **客单价低**：半盒或一盒10元以内，容易走量。
  - **视觉刺激**：黄色果肉+保鲜盒陈列，能带动关联销售（如配叉子、沙拉）。
- **劣势**：
  - **损耗极快**：切开后果肉易氧化、渗水，保质期仅24小时内，卖不掉必须报废。
  - **人工/包装成本高**：需要专人现切，或依赖后场加工（成本约占售价15-20%）。
  - **食品安全风险**：处理不当或温度不到位易滋生细菌，引发投诉。

**三、推荐的实操策略（直接可执行）**

1. **主推整果，按“帮削皮”服务破局**
   - 在称台或水果区提供**免费削皮服务**（或收取1-2元加工费，视商圈而定）。
   - 顾客买整果，店员当场削皮去芯装袋。这能打破“不想自己削”的顾虑，又保留整果的毛利和损耗优势。

2. **切果做“精”不做“多”**
   - 每天**限量制作**，只切当天能卖完的量。
   - 切果定价用“小盒试吃价”（如6-8元/200g），鼓励尝鲜。
   - 用**冰镇陈列**（加碎冰或冷藏柜）保持新鲜，并贴上“当日现切、当日食用”标签。

3. **按时段动态调配**
   - 工作日午/晚高峰（12:00-13:00、18:00-19:00）多上切果现货。
   - 周末和节假日可增加整果促销（整果3个装家庭装），切果适当收紧。
   - 如果傍晚切果余量多，立即降价（买一送一或5折）清掉，绝不隔夜。

4. **盯住两个关键指标**
   - **切果报损率**：若每日切果报废超过20%，说明备货过多，次日减量。
   - **整果动销率**：若整果销量持续低迷，优先检查是否缺削皮服务或位置不显眼，而非盲目切成小块。

**四、结论（针对大多数商超）**
- **如果你的店是社区店/生鲜加强型**：以整果为主（占70%），切果为辅（30%），重点做好免费削皮。
- **如果你的店是精品超市/便利店型**：切果占比可以提到50%，但务必控制单日产量，确保下午4点前基本清空。
- **不要全切，也不要全卖整果**。全切会亏在人工和报废，全整果会流失便利型顾客。

**最终建议**：先在店内试运行一周“整果+限量切果”，每天记录销量和报损，用数据决定最优比例。通常小盒切果是引流品，整果才是利润品。
