超市水果到货发现品相不好，售后流程建议按“先验收、再分级、后赔付”来约定，核心是把“什么算品相不好”和“怎么赔”写清楚，避免扯皮。

**一、验收环节（最关键）**
- 约定到货后**2小时内**（或双方约定时限内）完成验收，超时视为合格。
- 验收时要**拍照/视频留证**，包括：整箱外观、开箱后整体、问题果特写、箱唛/批次号。
- 明确验收标准：按合同约定的等级（如一级果、二级果）、规格（单果重、直径）、成熟度、损伤比例来判定。
- 区分“品相不好”的类型：机械伤、腐烂、冻伤、未熟/过熟、虫害、大小不符、色泽差。

**二、品相问题的判定标准**
建议量化，不要只写“品相好/不好”：
- 腐烂、霉变：**不允许**，出现即算不合格。
- 机械伤、压伤：单箱超过**X%**（如5%）算不合格。
- 大小/色泽不符：抽检**10%**，不合格率超过**X%**即整批可退或降价。
- 成熟度不符：明确可接受范围，超出即算问题。

**三、售后处理方式（按问题严重程度）**
1. **轻微问题**（少量压伤、色泽略差）：降价接收，按**扣款比例**结算，如扣5%–10%。
2. **中等问题**（部分腐烂、规格不符）：可**换货**或**部分退货**，问题部分不计货款。
3. **严重问题**（大面积腐烂、整批不符）：**整批拒收/退货**，运费由供货方承担。
4. **已上架后发现**：约定追溯期，如到货后**24–48小时内**可提异议，超期不认。

**四、责任与费用**
- 因供货方原因导致的问题：退换货**运费、损耗由供货方承担**。
- 因超市存储不当导致的：由超市承担。
- 赔付方式可选：**补货、退款、扣款、下次订单抵扣**，建议写进合同。

**五、流程步骤（建议写入合同）**
1. 到货→2小时内验收并拍照。
2. 发现问题→填写《验收异常单》，双方签字确认。
3. 供货方在**24小时内**响应，**48小时内**给出处理方案。
4. 协商不成→按合同约定的**扣款/退货**条款执行，或提交仲裁/诉讼。

**六、建议写进合同的条款示例**
> “买方应在到货后2小时内完成验收。如发现腐烂、霉变、机械伤超过5%、规格不符等问题，买方有权拒收或要求降价/换货。供货方应在接到通知后24小时内响应，48小时内处理完毕。因供货方原因产生的退换货费用由供货方承担。买方在到货后48小时内未提出异议的，视为验收合格。”

**一句话总结**：把验收时限、量化标准、分级处理方式、费用承担和响应时限写清楚，品相问题就不会变成扯皮问题。
