批发档口要减少退货纠纷，核心不是“退货时怎么吵赢”，而是**收货验货时把责任边界固定下来**。建议按下面做：

1. **先定验货规则，再收货**
   - 和供货商/物流方提前约定：到货后多少小时内验货，超时视为无异议。
   - 明确哪些情况可退换：数量短少、破损、错款、色差、质量瑕疵、批次不符。
   - 明确哪些不接：已剪标、已水洗、已上架磨损、二次销售影响、无原始包装。
   - 最好写进采购单、微信确认、送货单备注，别只口头说。

2. **到货先别急着上架**
   - 外包装先拍照，尤其是破损、水湿、挤压、二次封箱。
   - 当着送货员面点件数，数量不对直接让送货员签字确认。
   - 大批量到货，先抽检，再全检；高单价、易碎、易错款必须全检。

3. **验货要按固定清单做**
   - 数量：总数、码数、颜色、款式是否对版。
   - 外观：破损、污渍、线头、开胶、掉色、变形、异味。
   - 规格：尺码、型号、批次、生产日期、吊牌、条码。
   - 功能：能试的就试，能通电的当场通，能拉扯的轻拉检查。
   - 包装：原包装、配件、赠品、说明书是否齐全。

4. **全程留证据**
   - 到货开箱视频：从外包装完整状态开始拍，连续不剪辑。
   - 问题部位特写：破损、错款、码数、吊牌、批次一起入镜。
   - 称重/点数照片：整批和问题件都拍。
   - 送货单、聊天记录、下单截图、付款记录统一归档。
   - 证据要能看出“时间、货物、问题、数量”，不要只拍一张模糊图。

5. **问题货分区处理**
   - 合格品：正常入库上架。
   - 待确认品：单独放“待处理区”，不要混入销售库存。
   - 问题品：贴标签，写清到货日期、供货商、问题类型、数量。
   - 不要先卖问题货再等客户退，这会把供应商纠纷变成客户纠纷。

6. **发现异常当天反馈**
   - 最好当天、最晚按约定时限内发给供货商/物流。
   - 反馈格式：订单号+到货时间+问题清单+照片/视频+诉求。
   - 诉求要具体：补发、换货、退款、扣款、折价，别只说“有问题”。
   - 让对方文字确认处理方案，避免后面扯皮。

7. **建立简单台账**
   - 每个供货商记录：到货批次、验货结果、问题率、处理结果。
   - 连续出问题的供货商，降低采购量或改先款后货/到货全检。
   - 问题率高的品类，收货时提高抽检比例。

8. **对下游客户也要前置说明**
   - 档口销售单写明退换规则：时限、条件、凭证、哪些不退。
   - 客户提货时当面点清，签字确认。
   - 大客户发货前拍打包视频，物流单号、件数、封箱状态留档。

一句话：**收货验货的目标是把“货是谁的、什么时候到的、有什么问题、谁确认过”固定下来。**  
只要做到“当面点、按单验、全程拍、当天报、分区放、文字确认”，退货纠纷会明显下降。
