佳农水果的香蕉产品线通常按“**重量/条数/成熟度/包装形式**”做规格划分，但具体规格会随季节、产地（如菲律宾、厄瓜多尔、越南等）、批次和销售渠道调整，**没有对全渠道永久固定的统一清单**。以下是行业里较常见的分级思路，供你判断和对接采购时参考：

## 一、常见规格维度

| 维度 | 常见划分 | 说明 |
|---|---|---|
| 单根重量 | 120–150g、150–180g、180–220g、220g+ | 重量越大，通常等级越高 |
| 每箱净重 | 4kg、5kg、7kg、10kg、13kg、18kg等 | 商超、电商、批发市场常见不同箱规 |
| 每箱条数 | 20–24条、24–28条、28–32条等 | 与单根重量反向对应 |
| 成熟度 | 1–7级（青蕉到黄熟） | 渠道决定发货成熟度 |
| 外观等级 | 特级/一级/二级 | 看条形、长度、弯曲度、瑕疵、着色均匀度 |
| 包装 | 散装、保鲜袋、礼盒、单根/小把装 | 电商和精品渠道更常见小包装 |

## 二、按渠道的常见分级标准

### 1. 高端商超/精品超市
- **等级**：特级或一级
- **单根重量**：150–220g，条形整齐、弯曲一致
- **外观**：无黑斑、无擦伤、无机械伤，着色均匀
- **成熟度**：到店后2–3天可转黄，通常发3–4级青蕉
- **包装**：小把装、托盘覆膜、礼盒或品牌箱装

### 2. 普通商超/社区生鲜
- **等级**：一级为主，部分二级
- **单根重量**：120–180g
- **外观**：允许轻微表皮瑕疵，但不影响果肉
- **成熟度**：根据门店周转，发4–5级
- **包装**：5kg、7kg、10kg箱装，或整把销售

### 3. 电商/社区团购
- **等级**：一级或二级
- **规格**：按“根数+净重”标注，如5斤装、3斤装、单根装
- **成熟度**：偏青发货（3–4级），减少运输损耗
- **包装**：防撞泡沫箱、气柱袋、独立小包装
- **关键**：耐运输、到货后催熟一致

### 4. 批发市场/水果店
- **等级**：二级或统货
- **单根重量**：100–150g为主
- **外观**：允许少量花皮、擦伤
- **成熟度**：5–6级，到货即可销售
- **包装**：大箱散装，13kg、18kg常见
- **关键**：价格敏感，周转快

### 5. 餐饮/烘焙/果汁加工
- **等级**：加工级
- **外观**：不要求条形，允许瑕疵
- **成熟度**：6–7级，高熟度用于果泥、奶昔、烘焙
- **包装**：大箱或冷冻果泥形式
- **关键**：出肉率、糖度、成本

## 三、判断要点

1. **先确认渠道定位**：高端零售看外观和一致性，批发看价格和周转，电商看耐运输和催熟稳定。
2. **再确认成熟度发货标准**：同一等级，不同渠道发货成熟度不同，这是损耗控制的关键。
3. **最后确认批次规格表**：佳农不同产地和季节的箱规、条数、单根重会变，采购时应索要当批次的**规格书/质检标准**。
4. **不要只看“几级”**：不同供应商对“一级”的定义可能不同，最好用**单根重区间+条数+外观缺陷允许比例+成熟度**四项锁定。

如果你是要做渠道选品或写采购标准，可以把目标渠道（商超/电商/批发/餐饮）和预计周转天数发我，我可以帮你整理成一份可对接供应商的规格要求表。
