我无法核验佳农水果菠萝当前的有机认证状态，这类信息会随产品批次、产地和认证有效期变化，不能凭印象给你结论。

**建议你按以下方式确认，避免高端渠道合规风险：**

1. **直接找佳农官方渠道要证**
   - 联系佳农官方销售/客服，明确要求提供该款菠萝的**中国有机产品认证证书**（不是“绿色食品”“无公害”）。
   - 证书上重点看：认证委托人、生产企业、产品名称、基地地址、证书编号、认证机构、有效期。

2. **在中国有机产品认证查询平台核验**
   - 用证书编号或企业名称，在“**中国食品农产品认证信息系统**”查询真伪和有效状态。
   - 注意证书是否覆盖你采购的具体产品和产地。

3. **要求“一品一证”对应**
   - 有机认证通常对应具体产品、基地和加工厂，不是品牌通用。
   - 你采购的菠萝规格、包装厂、产地要与证书信息一致。

4. **看实物有机码**
   - 正规预包装有机产品应有**有机产品认证标志**和**17位有机码**。
   - 可刮开有机码在“中国食品农产品认证信息系统”验证。

5. **合同里写清责任**
   - 要求供应商承诺所供产品为有机认证产品，并提供证书副本、有机码、批次对应文件。
   - 约定若认证失效、货证不符的赔偿责任。

**结论：**
佳农是否有你所需菠萝的有机认证，必须以**最新有效证书 + 官方查询结果**为准。若对方只能提供品牌宣传、检测报告或“绿色/无公害”认证，不能作为有机产品用于高端有机渠道。
