我没有办法可靠核验鑫荣懋和都乐当前的冷链配送城市清单，所以不能给出具体城市名单，否则很容易是过时或编造的信息。

不过可以给你可执行的判断和建议：

1. **鑫荣懋（鑫荣懋果业）**
   - 它本身是国内大型水果供应链企业，通常具备全国性冷链/仓配能力，重点覆盖一二线城市和主要销地批发市场周边。
   - 但具体到“配送到哪些城市”，通常取决于：
     - 你是供应商还是采购方；
     - 是到仓、到店还是到经销商；
     - 品类是常温、冷藏还是冷冻；
     - 是否需要“最后一公里”门店配送。
   - 因此它的公开宣传里常写“全国覆盖”，但实际可配送城市要以销售或物流对接人给出的**最新配送范围表**为准。

2. **都乐（Dole）**
   - 都乐在中国有较为成熟的冷链和配送体系，主要覆盖大型商超、电商仓、批发市场和餐饮渠道。
   - 同样，具体城市覆盖会因产品线、区域经销商和客户类型不同而变化。
   - 大型商超供应商审核时，通常不会只看品牌全国覆盖，而会要求提供：
     - 配送城市清单；
     - 冷链车辆/温控记录；
     - 仓储资质；
     - 到店时效；
     - 异常处理流程。

3. **如果你要应对商超审核，最稳妥的做法**
   - 直接向鑫荣懋或都乐的**区域销售/物流负责人**索要：
     - 《可配送城市及时效表》；
     - 冷链运输资质和温控记录样本；
     - 最近3个月的同类型商超配送案例。
   - 如果对方只给“全国可送”这类模糊说法，商超审核通常不会认可，必须落到**具体城市、具体仓、具体时效**。

4. **快速判断能不能覆盖你所在城市**
   - 看该城市是否有：
     - 鑫荣懋/都乐的区域仓或经销商仓；
     - 直发商超DC的线路；
     - 冷藏车可直达门店或商超配送中心。
   - 如果没有区域仓，即使品牌大，也可能只是“干线到附近城市”，不一定能直接覆盖你所在城市。

如果你告诉我你所在城市、要配送的商超系统（如永辉、大润发、沃尔玛、盒马等）以及是到仓还是到店，我可以帮你列一个向对方核实的清单，方便你直接拿去问。
