针对生鲜电商采购菠萝，**整果（原切）**是目前最适合线上销售的主流选择，但需要结合你的目标客群和物流特性具体分析。以下是综合对比建议：

**结论先行：如果只能选一个，优先推整果。**

---

### 三类菠萝的详细对比

| 维度 | 整果（带皮） | 切配（去皮切块） | 冷冻原料（速冻果丁/果片） |
|------|------------|----------------|----------------------|
| **保鲜难度** | 中等（常温可存3-5天，冷藏7-10天） | 高（去皮后氧化、褐变快，需全程冷链） | 低（-18℃保存） |
| **损耗风险** | 高（运输碰伤、催熟不均致坏果） | 极高（水分流失、变色、微生物风险） | 极低（几乎无损耗） |
| **客单价** | 中（5-10元/个） | 高（切配加价） | 低（通常做配菜） |
| **复购场景** | 家庭尝鲜、节日果篮 | 白领即食、轻食沙拉 | 烘焙、餐饮原料、冰沙 |
| **物流成本** | 普通快递+纸箱 | **必须冷链**（成本高3-5倍） | **必须冷链**（且重，运费不划算） |

---

### 具体决策建议

#### 1. 优先选整果的条件
- **你的平台有次日达/同城配送**（保证新鲜度）
- 目标人群是**家庭用户、社区团购**（对价格敏感，愿意自行削皮）
- 采购量中等，能承受约5%-10%的运输损耗
- **操作建议**：
  - 选**7-8成熟**的菠萝（太生难催熟，太熟易烂）
  - 发货时套网套+气泡柱，留透气孔
  - 附带削皮刀/食用指南，降低用户操作门槛

#### 2. 可行但非主流的切配菠萝
- **只在以下情况考虑**：
  - 你已有完善的**冷链仓配体系**（如前置仓）
  - 目标客群是**一二线城市上班族**（愿意为便利多付50%价格）
  - 能确保**24小时内送达**，且出库前用真空包装+冰袋
- **风险提示**：
  - 损耗率可能高达20%-30%（客户退货率高）
  - 需标“当日鲜切”，否则客户预期管理困难

#### 3. 不建议冷冻原料做C端零售
- 原因：冷冻菠萝在线上C端销量非常低，多数用户会直接买新鲜水果，冷冻品更适合B端（奶茶店/餐厅）。
- **除非你的定位就是“商用原料商”**，否则冷冻菠萝重量大、运费贵，客单利润薄，且消费者对“冷冻”水果有天然排斥。

---

### 执行清单（如果做整果）
1. **采购**：包园直采或产地代采，选“台农17号”或“金钻”品种（甜度高、耐储存）。
2. **分拣**：剔除有软斑、刺伤果，按重量分级（如300g/500g/800g）。
3. **包装**：加强瓦楞纸箱+珍珠棉隔层，每个果子单独套生物降解网袋。
4. **售后**：设立“坏果包赔”政策，把损耗转为信任成本。

**一句话总结**：除非你已有冷链体系，否则老老实实做整果，把损耗摊进价格，用“新鲜看得见”做差异化。切配留给线下门店或短保专营渠道。
