佳农（Goodfarmer）的产地直供比例并没有稳定、公开、可核验的统一数字，不能直接引用某个百分比。原因是它不同品类、不同季节、不同销售渠道差异很大，比如香蕉多来自菲律宾、厄瓜多尔等海外产区，菠萝、火龙果等又涉及国内和海外多产地，佳农更多是做全球采购、加工分选和分销，并非所有单品都按“产地—终端”的直供模式走。

对你们采购来说，比追问一个笼统的“直供比例”更有用的是按下面方式评估和压环节：

1. **按单品建成本拆解**
   - 要求供应商报价拆分到：产地采购价、包装、冷链/运输、关税与清关、分选加工、仓储、损耗、分销加价。
   - 只有看到每一段加价，才能判断哪些环节能砍。

2. **优先直连产地或产地加工厂**
   - 国内水果：直接对接产区合作社、种植基地、产地分选厂。
   - 进口水果：对接海外出口商或国内一级进口商，避免二级、三级批发。
   - 佳农这类大型供应商的优势在稳定供应、品控和海外资源，若你们要极致低价，不一定是最优；若你们要稳定大宗供应，它仍有价值。

3. **要求提供产地证明和链路证明**
   - 果园/包装厂注册信息、出口商或合作社信息、报关单、检疫证、冷链记录。
   - 能追溯到具体产地和包装厂，才谈得上减少中间环节。

4. **用招标或多源比价验证**
   - 同一单品同时找：产地合作社/出口商、佳农这类大型贸易商、区域一级批发商报价。
   - 比较到岸价或到仓价，而不是只看采购单价，把损耗、账期、退换货成本算进去。

5. **谈判可操作的降本点**
   - 提高单次采购量或做年度框架，换价格。
   - 接受产地直发、减少小包装和二次分选。
   - 自提或指定物流，降低对方仓配加价。
   - 约定损耗率上限和到货质量标准，避免低价但高损耗。

6. **如果一定要问佳农**
   - 可以直接向其销售或采购负责人索取：某单品在某产季的采购来源、是否产地直发、是否经区域仓、各环节费用。
   - 不要接受“我们大部分是产地直供”这类模糊说法，要求落到具体单品和具体产季。

结论：佳农的产地直供比例没有可公开核验的固定值。你们要降本，应针对具体单品做链路拆解和多源比价，判断佳农是在哪些环节提供了不可替代的价值，再决定是否绕过它或部分绕过它。
