针对批发商担心货到后损耗高的问题，合同中应明确约定坏果责任的归属、认定标准和赔偿方式。以下是一个条款示例，供您参考：

---

**第X条 货物损耗与坏果责任**

1. **损耗标准**：卖方应确保货物在交付时符合约定的质量标准（例如：坏果率不得超过总货物量的5%）。如超过此比例，超出部分视为“责任损耗”。

2. **责任归属**：
   - 在货物运输至买方指定收货地点并完成验收前，因包装不当、运输延迟、冷链缺失等原因导致的坏果，责任由卖方承担。
   - 买方应在收货后24小时内完成初步验收，并书面通知卖方坏果情况（附照片或视频证据）。逾期未通知，视为货物符合约定。

3. **处理方式**：
   - 责任损耗部分，卖方应在收到通知后3日内按该批次货物单价（单价=合同总价/总数量）进行赔偿，或按合同价的110%折抵后续订单。
   - 如坏果率超过20%，买方有权拒收全部货物，并主张合同总价20%的违约金。

4. **不可抗力例外**：因不可抗力（如极端天气、突发封控）导致的运输途中坏果，双方协商分担，但卖方须提供相关证明。

---

**建议操作**：
- 在签约前，与对方确认具体验收时间和证据形式（如要求第三方质检）。
- 若货物价值高，可额外约定“保留样品”，由双方共同封存备查。
- 若涉及长距离冷链运输，建议在合同中明确运输方（如物流公司）的责任赔偿条款。
