您好！关于都乐（Dole）和鑫荣懋的供货稳定性，作为AI助手我无法获取实时商业数据或内部运营信息，但可以为您提供一些通用的判断维度和建议：

1. **行业普遍认知**：
   - **都乐**：国际知名品牌，供应链成熟，但受进口政策、海运周期、海外产区气候（如美国、新西兰）影响较大。尤其是智利、美国苹果，近期因物流和关税问题可能有波动。
   - **鑫荣懋**：国内头部水果供应链企业，在进口苹果（如新西兰、智利、美国）方面资源较丰富，且自有冷链物流体系，稳定性相对较高，尤其在华南、华东区域覆盖较好。

2. **关键风险点**：
   - **季节性**：进口苹果（如红蛇果、青苹果）在不同国家的产季衔接（如美国9-12月，智利2-5月）一旦断档，国产或其他替代品可能影响稳定。
   - **政策与物流**：需关注港口清关速度、集装箱短缺、价格波动（如关税调整）等。

3. **建议行动**：
   - **直接联系两家公司销售代表**：要求提供过去12个月的订单履约率、平均延迟天数及原因。
   - **参考第三方数据**：如中国海关总署的进口水果统计、果品行业协会数据，或咨询同行（如百果园、盒马采购）的口碑。
   - **签订保供协议**：明确最低供货量、违约赔偿条款及备选替补方案（如分批次提货）。

4. **可试性判断**：
   - 若您规模较大（如单月需求1000箱以上），建议都乐和鑫荣懋均合作，分散风险；
   - 若门店位于二线城市，鑫荣懋的本地化调度能力可能更优。

如需进一步分析具体品种（如嘎啦、红蛇果）或区域，请补充信息，我可以帮您梳理更细的维度。
