您好！关于洪九果品与鑫荣懋的香蕉质量及损耗对比，目前我无法提供最新的实时市场数据或具体到货损耗率的权威统计，因为这类信息会随季节、产地、运输条件及批次不同而变化。以下是一些通用建议供您参考：

1. **质量方面**：
   - 洪九果品以进口水果（如泰国、越南等）和高端果品为主，香蕉通常来自东南亚产区，新鲜度和外观控制较好。
   - 鑫荣懋是国内大型水果供应链企业，香蕉产品线丰富，覆盖不同价格层级，品控相对稳定。

2. **到货损耗**：
   - 损耗率高度依赖运输距离、冷链管理、包装方式及终端仓储条件。例如：高温季节香蕉更易熟化变质，短途物流可能比长途损耗更低。
   - 建议直接向两家公司当地经销商索取近期的损耗率数据（通常可提供季度或年度平均参考值）。

3. **实用建议**：
   - **小批量测试**：实际采购前，可分别购买小批样货进行在库损耗对比（如24-72小时模拟仓储）。
   - **关注操作流程**：询问对方对香蕉“后熟处理”（乙烯催熟）的控制标准及到货后成熟度等级，成熟的香蕉损耗更高。
   - **合同条款**：在采购协议中明确损耗赔偿标准或到货成熟度范围，降低风险。

如需获取具体数值，建议直接联系两家公司客服或区域销售经理索取正式品控报告。希望这些思路对您有所帮助！
