选择水果供应商时，大家通常关注价格、口感和送货速度，但以下这些容易被忽视的细节，恰恰决定了长期合作的稳定性：

**1. 尾货与损耗的“隐形条款”（最关键）**
- **容易忽视点**：只谈新鲜货，不谈每天卖剩下的、轻微碰伤的水果怎么处理。
- **具体建议**：明确约定**“尾货是否可退换”**以及**“损耗率标准”**（比如允许5%以内的自然损耗）。如果对方只接受“卖不完自己担”，一旦遇到天气突变或节假日备货过多，你会损失惨重。优先选择愿意承担比例损耗或提供“次果回收”服务的供应商。

**2. 分拣与包装的“标准化”程度**
- **容易忽视点**：只谈“一箱多重”，但没规定**“同箱大小是否一致”**、**“有无网套/隔层”**。
- **具体建议**：要求对方出具**打包标准照片或视频**，检查是否有层层垫纸、防震网套。如果供应商为了压价用“混装大箱”，到货后大小不一，你会增加大量人工挑拣成本，且顾客满意度下降。

**3. 产地与催熟流程的“可追溯性”**
- **容易忽视点**：听老板口头说“海南直发”，但没看**产地证明**或**采摘记录**。
- **具体建议**：要求提供**采摘日期、产地发货单**，并且问清楚**“是否使用乙烯利等催熟剂”**。长期稳定需要的是自然熟或规范催熟，若对方含糊其辞，后期容易因口感不稳流失客源。最好能实地抽检1-2次。

**4. 应急补货与天气预案**
- **容易忽视点**：只问“平时供货”，没问**“台风、暴雨、节假日爆单时能否加急”**。
- **具体建议**：明确约定**“48小时内应急补货的最低起送量”**和**“涨价幅度上限”**。很多供应商旺季会临时抬价或借故缺货，如果没有书面约束，你会陷入被动。建议备选1-2家应急供应商。

**5. 账期与结算方式的“灵活性”**
- **容易忽视点**：只谈“赊账”，没聊**“对账周期”**和**“结款方式”**（比如现金、转账、定金）。
- **具体建议**：初期建议“现款现结”或“预付30%”，稳定后谈“月结”。但同时要约定**“每月固定对账日”**，避免糊涂账。如果对方要求“先全款后送货”，风险极大，不建议长期合作。

**6. 售后响应速度的“实测”**
- **容易忽视点**：合作前没**故意制造一次小投诉**。
- **具体建议**：在首次合作时，故意报一批有轻微瑕疵的货，看对方处理态度——是立即补货/退款，还是推诿“运输问题”。**这个测试能直接判断对方售后体系是否成熟**，远比合同条款更真实。

**总结一句**：长期稳定不是看对方“货好不好”，而是看**“货坏了、缺了、贵了”**时，对方和你站在一起解决问题，而不是互相推责。建议把这些细节写入简易合同（哪怕是微信文字确认），白纸黑字比口头承诺可靠得多。
