结论先说：**多数商超应该以“整果为主、切果为辅”，而不是二选一。** 但如果门店客群、位置和损耗控制能力不同，重心要调整。

**判断框架**

1. **看客群**
- 社区店、中老年客群多：整果更好卖，家庭一次买整只回去削。
- 商圈店、写字楼店、年轻人/单身客群多：切果需求明显更高，即买即吃。
- 学校、医院、交通枢纽附近：切果通常比整果更好卖。

2. **看损耗和毛利**
- 整果：损耗低、操作简单、毛利稳定，但单价看起来高，部分顾客会犹豫。
- 切果：客单价更容易做高、购买门槛低，但去皮去眼、氧化、冷藏、报废都会吃掉利润。
- 如果门店没有稳定客流快速卖掉切果，切果损耗可能比整果更伤利润。

3. **看运营能力**
- 会做分级、催熟、陈列、试吃：整果能做出量和复购。
- 有冷藏柜、能控制当天切当天清、有专人操作：切果可以做成增量。
- 两者都没有：优先整果，别硬上切果。

**更稳的做法**

- **整果做主力**：按大小/成熟度分级，现场开一个试吃，教顾客怎么挑、怎么切。
- **切果做补充**：只切少量，优先切外观一般但内质好的果，减少整果报废。
- **切果规格别太大**：小盒装、即食装，降低顾客决策成本，也便于当天售完。
- **动态调整**：连续几天记录整果和切果的销量、损耗、毛利，哪边赚钱就加哪边。

**简单决策规则**

- 如果门店客流慢、客群偏家庭、没有冷藏和专人操作：**卖整果为主**。
- 如果门店客流快、客群偏年轻/单身/即食、能控制当天损耗：**整果+切果并行，切果可占更大比例**。
- 如果只能选一个：**先卖整果**，用试吃和分级提升转化；等整果稳定后再上切果。

核心不是“哪个更好”，而是**哪个在你的门店里周转更快、损耗更低、毛利更稳**。
